Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
Indian Medical Association Vs. V.P. Shantha,Indian Medical Association,V.P. Shantha,Whether medical services are covered under the Consumer Protection Act for the purpose of seeking compensation for medical negligence.,"The respondent sought compensation for alleged medical negligence, arguing that medical services fall under consumer protection laws.",The High Court ruled that medical services provided for consideration were subject to the Consumer Protection Act.,The petitioner argued that healthcare providers should not be considered service providers under the Consumer Protection Act.,"Consumer Protection Act, 1986.",Medical negligence is considered a consumer dispute under the Consumer Protection Act when healthcare is provided for a fee.,Prior rulings on the applicability of consumer laws to professional services and medical negligence.,"Medical services are considered under consumer laws if provided for a fee, making medical negligence subject to compensation claims.",The Supreme Court upheld that medical services are included under the Consumer Protection Act for the purposes of medical negligence claims.
Indra Sawhney Vs. Union of India,Indra Sawhney,Union of India,Validity of OBC reservations and the inclusion/exclusion of the creamy layer.,"The petitioner challenged the Mandal Commission's recommendations, arguing that the 27% reservation violated the equality framework in the Constitution.","The High Court upheld the 27% reservation for OBCs, but the question of excluding the creamy layer was contested.","The petitioner contended that reservations for OBCs, without excluding the creamy layer, violated equality and social justice principles.","Constitution of India, Articles 14, 15, 16.",Government policy on affirmative action for backward classes.,"Prior rulings on the scope of reservations, affirmative action, and principles of equality.","OBC reservations were upheld, but the Court mandated the exclusion of the ""creamy layer"" to ensure fairness and merit-based opportunities.",The Supreme Court upheld the validity of OBC reservations but directed that the creamy layer be excluded to ensure fairness.
Navtej Singh Johar Vs. Union of India,Navtej Singh Johar,Union of India,"Whether Section 377 IPC, which criminalizes consensual same-sex relationships, violates fundamental rights.","The petitioners, representing the LGBTQ+ community, challenged the constitutional validity of Section 377 of the IPC.","The High Court initially decriminalized Section 377, but the Supreme Court ultimately decided to revisit and strike down the provision.","The petitioners argued that the criminalization of consensual same-sex relationships infringes on dignity, equality, and privacy under Articles 14, 15, and 21.","Indian Penal Code, Section 377: Criminalizing consensual same-sex acts.","Constitutional provisions regarding privacy, dignity, and equality under Articles 14, 15, and 21.","Prior decisions on privacy, equality, and personal liberty affecting LGBTQ+ rights.","Criminalization of consensual same-sex relationships violates the fundamental right to privacy, equality, and personal dignity.","The Supreme Court ruled to decriminalize consensual same-sex relationships, affirming the constitutional rights of LGBTQ+ individuals."
Shayara Bano Vs. Union of India,Shayara Bano,Union of India,Whether the practice of instant triple talaq is unconstitutional and violates the fundamental rights of Muslim women.,"The petitioner was divorced through instant triple talaq, leading to a legal challenge regarding its constitutionality.","The High Court upheld the practice of triple talaq, stating it was part of Muslim personal law.","The petitioner argued that instant triple talaq was discriminatory, violating Articles 14, 15, and 21 of the Constitution.","Constitution of India, Articles 14, 15, 21.","Muslim Personal Law (Shariat) Application Act, 1937; and Constitutional provisions related to gender equality and justice.","Cases on gender equality, personal liberty, and religious practices affecting women’s rights.",Instant triple talaq is arbitrary and unconstitutional.,Supreme Court struck down instant triple talaq as unconstitutional.
ADM Jabalpur Vs. Shivkant Shukla,ADM Jabalpur,Shivkant Shukla,Whether the suspension of fundamental rights during the Emergency (1975-77) was constitutionally valid.,"The petitioner was detained without trial during the Emergency, challenging the suspension of fundamental rights.","The High Court ruled in favor of detained individuals, stating their rights were violated.","The petitioner argued that fundamental rights could be suspended under the Emergency provisions, as allowed by the Constitution.","Constitution of India, Article 359.","Emergency powers, particularly the suspension of fundamental rights under the Constitution, were contested.",Previous rulings on state power during national emergencies.,The Supreme Court upheld the suspension of fundamental rights during the Emergency under the Constitution’s provisions.,The Supreme Court upheld the suspension of fundamental rights during the Emergency but this decision was overruled in subsequent cases.
S. R. Bommai Vs. Union of India,S. R. Bommai,Union of India,Whether the imposition of President's Rule under Article 356 is subject to judicial review and can be misused by the central government.,"The Karnataka government was dismissed under Article 356, and the legality of such dismissal was challenged.",High Court upheld the President’s decision to dismiss the Karnataka government.,Petitioner argued that Article 356 should not be misused to dismiss elected governments arbitrarily.,"Constitution of India, Article 356 (President's Rule).","The scope of Article 356, emphasizing judicial review and the restriction on its arbitrary use.",Previous cases where the imposition of President's Rule was questioned and reviewed by the courts.,The Supreme Court imposed limitations on the use of Article 356 and ruled that it is subject to judicial review.,The Supreme Court ruled that President’s Rule can be challenged in courts and is subject to judicial review to prevent misuse.
Vishaka & Ors Vs. State of Rajasthan,Vishaka & Ors,State of Rajasthan,Whether the absence of specific legislation on workplace sexual harassment negates the obligation to protect women's rights.,A PIL was filed by Vishaka & Ors for the formulation of guidelines to prevent sexual harassment in workplaces.,High Court dismissed the PIL on the grounds that there was no specific legislation addressing workplace sexual harassment.,Petitioner argued that absence of a law does not negate the duty to protect fundamental rights.,"Constitution of India, Article 14, 19, 21.",Supreme Court’s Vishaka Guidelines for workplace sexual harassment prevention.,"Vishaka Guidelines, which set the foundation for addressing sexual harassment in the workplace.","Workplace safety is a fundamental right, and guidelines must be established.",Supreme Court laid down Vishaka Guidelines for prevention of sexual harassment.
People Union for Civil Liberties Vs. Union of India,People Union for Civil Liberties (PUCL),Union of India,Whether the failure to implement food security schemes and prevent starvation deaths violates the right to life.,PUCL sought better implementation of food security schemes and addressed starvation deaths through judicial intervention.,The High Court directed the government to improve implementation of food schemes but refrained from imposing strict guidelines.,PUCL argued that the failure of the government to enforce food security schemes violated the fundamental right to life.,"Constitution of India, Article 21 (Protection of Life and Personal Liberty).","The Food Security Act, Public Distribution System (PDS), and state responsibility for ensuring access to food.","Earlier rulings on socio-economic rights, including the right to food under the right to life.",The Court reinforced that access to food is an essential part of the right to life and directed better implementation of welfare schemes.,The Supreme Court directed the government to implement stronger food security measures to ensure no one faces starvation.
Mithu Vs. State of Punjab,Mithu,State of Punjab,Whether mandatory death penalty for offenders already serving life imprisonment violates fundamental rights.,"Mithu challenged the provision of mandatory death penalty for life prisoners, claiming it violated fundamental rights.","The High Court upheld the constitutionality of Section 303 IPC, affirming the mandatory death sentence.",The petitioner contended that Section 303 IPC’s mandatory death penalty was unconstitutional and violated judicial discretion.,"Indian Penal Code, Section 303.",The right to life under Article 21 and the requirement for judicial discretion in sentencing.,Earlier decisions on the importance of judicial discretion in sentencing.,"The mandatory death sentence under Section 303 IPC was ruled unconstitutional, as it removed judicial discretion in sentencing.",The Supreme Court struck down the provision of mandatory death penalty in Section 303 IPC as unconstitutional.
State of Rajasthan Vs. Jagannath,State of Rajasthan,Jagannath,"Whether encroachment on government land justifies eviction under state law, and the requirement for proper rehabilitation.","The respondent had illegally occupied government land, and the dispute arose regarding eviction and rehabilitation under law.","High Court ruled in favor of eviction, asserting the state’s rights over public land and endorsing the eviction order.","The petitioner contended that government land must remain free from unauthorized occupation, emphasizing eviction.",Land Encroachment Act.,"Eviction of illegal encroachment is necessary, but the state must consider rehabilitation where applicable.",Previous rulings confirming that unauthorized occupation of state land must be rectified by eviction.,The Supreme Court upheld the eviction of the respondent but directed the state to consider rehabilitation where necessary.,"The Supreme Court affirmed the eviction order, instructing the state to provide necessary rehabilitation to the affected party."
Gian Kaur Vs. State of Punjab,Gian Kaur,State of Punjab,Whether the criminalization of abetment of suicide under Section 306 IPC violates the right to life and autonomy.,"The petitioner contended that Section 306 IPC, which criminalizes the abetment of suicide, violates personal autonomy.","High Court found Section 306 IPC unconstitutional, as it infringed on the right to life.",The petitioner argued that the right to life under Article 21 extends to the right to die.,"Indian Penal Code, Section 306.","Right to Life under Article 21, which includes the right to personal autonomy.","Reference to the P. Rathinam case, where the right to die was recognized, but later overturned.","The Supreme Court ruled that the right to life does not extend to the right to die, and abetment of suicide remains punishable.","The Supreme Court upheld Section 306 IPC, affirming that abetment of suicide is a criminal offense under Indian law."
Kesavananda Bharati Vs. State of Kerala,Kesavananda Bharati,State of Kerala,Whether Parliament can alter fundamental rights and amend the Constitution’s basic structure.,The petitioner contested land reform laws and questioned whether Parliament had the power to amend fundamental rights.,High Court upheld the constitutionality of the land reform laws.,The petitioner argued that any amendment that alters the Constitution's basic structure is beyond Parliament's power.,"Constitution of India, Article 368.",Doctrine of Basic Structure as part of the Constitution.,"The case set the precedent for defining and limiting Parliament’s amendment powers, ensuring the Constitution’s core structure remains intact.","The Supreme Court ruled that while Parliament can amend the Constitution, it cannot alter its basic structure or core values.","Supreme Court upheld the basic structure doctrine, reinforcing that Parliament cannot make amendments that alter the Constitution’s fundamental structure."
Supreme Court Advocates-on-Record Association Vs. Union of India,Supreme Court Advocates-on-Record Association,Union of India,Whether the National Judicial Appointments Commission (NJAC) violates the principle of judicial independence.,The petitioner challenged the NJAC Act on grounds that it undermined the judiciary’s independence.,"High Court upheld the validity of the NJAC Act, despite challenges to its constitutionality.",The petitioner argued that NJAC interfered with judicial independence by allowing the executive a greater role in judicial appointments.,"NJAC Act, 2014.","The Constitution’s framework for judicial appointments, particularly the independence of the judiciary from the executive.","Previous rulings emphasizing judicial independence and the separation of powers, particularly in judicial appointments.","Judicial independence is part of the basic structure of the Constitution, and any law undermining it must be struck down.",The Supreme Court ruled that the NJAC Act was unconstitutional as it violated the basic structure of judicial independence.
R.G. Anand Vs. Delux Films,R.G. Anand,Delux Films,Whether there was copyright infringement by Delux Films in copying R.G. Anand's play into a film.,"R.G. Anand claimed that Delux Films copied his play into a film with substantial similarities in characters, plot, and scenes.","High Court dismissed the petition, ruling that the similarities between the play and the film were coincidental and not substantial.","The petitioner argued that the copying of not just the theme, but also the expression and structure of his play, violated copyright.","Copyright Act, 1957.","Copyright law protects the expression of ideas, not the ideas themselves; only substantial similarity of expression constitutes infringement.","Previous cases distinguishing between ideas and their expression, emphasizing that copyright protects only the expression of ideas, not the ideas themselves.","Copyright infringement requires substantial similarity in expression, not just in the underlying idea or theme.",The Supreme Court ruled that copyright does not protect broad themes or ideas but only the specific expression of those ideas.
State of Bihar Vs. K.K. Misra,State of Bihar,K.K. Misra,Whether government employees have the right to strike under Indian law.,"Government employees went on strike demanding higher wages, and the state took disciplinary actions against them.","High Court ruled that the employees' strike was justified, and the disciplinary actions taken by the state were invalid.","The petitioner argued that government employees do not have an absolute right to strike, particularly in essential services.","Constitution of India, Article 19(1)(c).","Essential Services Maintenance Act, 1968.","Previous rulings on the rights of government employees, including limitations on strikes in essential services.","The right to strike for government employees is not absolute, especially when it pertains to essential services.","The Supreme Court upheld the state's restrictions on strikes by government employees, particularly in essential services."
Bandhua Mukti Morcha Vs. Union of India,Bandhua Mukti Morcha,Union of India,Whether bonded labor constitutes a violation of human rights and should be eradicated by state intervention.,A PIL was filed by Bandhua Mukti Morcha to challenge the persistence of bonded labor in inhumane conditions.,High Court provided limited relief to victims but failed to provide systemic directions to eliminate bonded labor.,The petitioner argued that bonded labor violated fundamental rights under the Constitution and needed urgent intervention.,"Bonded Labour System (Abolition) Act, 1976.","Human Rights, Labor Welfare Laws, and the Bonded Labour System (Abolition) Act.",Previous rulings related to bonded labor and human rights protections for laborers.,Bonded labor violates fundamental rights and must be systematically eradicated by the government.,The Supreme Court directed the government to take comprehensive action for the rehabilitation of bonded laborers.
Union Carbide Corporation Vs. Union of India,Union Carbide Corporation,Union of India,Whether the compensation settlement for Bhopal Gas Tragedy victims is adequate or needs reevaluation.,The Indian government and Union Carbide reached a $470 million settlement for the victims of the 1984 Bhopal Gas Disaster.,"High Court approved the settlement but faced opposition, especially from victims' advocacy groups.","Petitioner argued that the settlement was adequate and legally binding, and there was no need for further claims.","Bhopal Gas Leak Disaster Act, 1985.",Principles of absolute liability and compensation for industrial disasters under Indian law.,Previous cases on liability and compensation in industrial disaster cases.,"The compensation must be fair and adequate to address the scale of the disaster, and additional claims may be allowed.",Supreme Court upheld the settlement but allowed for re-evaluation and additional compensation claims.
Mohd. Ahmed Khan Vs. Shah Bano Begum,Mohd. Ahmed Khan,Shah Bano Begum,"Whether a Muslim woman is entitled to maintenance under Section 125 CrPC after divorce, regardless of Muslim personal law.",Shah Bano was divorced and denied maintenance by her husband. She filed for maintenance under Section 125 CrPC.,High Court ruled that Shah Bano was entitled to maintenance despite Muslim personal law.,Petitioner argued that Muslim personal law does not provide for maintenance beyond the iddat period.,"Code of Criminal Procedure, 1973.","Section 125 of CrPC Maintenance for wives, minor children, and parents.",Previous rulings on maintenance under Section 125 CrPC and rights of divorced women in different religious contexts.,"A Muslim woman is entitled to maintenance under Section 125 CrPC, irrespective of Muslim personal law, if she cannot support herself.","Supreme Court upheld the High Court’s decision, affirming that Shah Bano was entitled to maintenance."
Delhi Transport Corporation Vs. DTC Mazdoor Congress,Delhi Transport Corporation,DTC Mazdoor Congress,Whether the termination of DTC employees without due process violated principles of natural justice.,"DTC employees were terminated without following proper procedures, leading to a legal challenge on grounds of natural justice.",High Court ruled that the dismissals violated natural justice and ordered the employees’ reinstatement.,The petitioner argued that the termination decisions were within the discretion of the management and did not require due process.,"Constitution of India, Article 14; Industrial Disputes Act, 1947.","Industrial Disputes Act, 1947 – regulations governing fair treatment and dispute resolution in employment.","Previous rulings on wrongful termination, employment rights, and due process.",Termination of employees must comply with due process and principles of natural justice.,"Supreme Court upheld the High Court's decision, mandating reinstatement for the dismissed employees."
"Bengal Enamel Works Ltd Vs. Commissioner of Income-Tax, West Bengal",Bengal Enamel Works Ltd,"Commissioner of Income-Tax, West Bengal",Whether the tax authorities can disallow the deduction for a technical advisor’s remuneration paid as a percentage of profits.,"The petitioner hired a technical advisor and paid remuneration based on company profits, which led to a tax dispute over deductions.",Tax authorities deemed the payments excessive and disallowed deductions for the advisor’s remuneration.,The petitioner contended that the remuneration was reasonable based on the advisor’s expertise and contribution to the company.,"Income Tax Act, 1961, Section 40A(2).","Section 40A(2) of the Income Tax Act, regulating excessive expenses and deductions.",Previous cases concerning deductions for expenses and the reasonableness of such claims under tax law.,The remuneration paid was deemed excessive and unjustified under tax law.,"Supreme Court upheld the decision of the tax authorities, disallowing the excessive payments made to the technical advisor."
Shyam Narayan Chouksey Vs. Union of India,Shyam Narayan Chouksey,Union of India,Whether the compulsory playing of the national anthem before movie screenings is legally required.,"The petitioner requested that the national anthem be played in cinemas before movies, believing it would promote patriotism.","High Court rejected the petition, stating that the mandatory playing of the national anthem is not legally required.",The petitioner argued that the national anthem should be played in cinemas to encourage national unity and respect for the anthem.,"Prevention of Insults to National Honour Act, 1971.",Guidelines on respecting national symbols and fostering national pride.,Precedents on national symbols and the role of the state in promoting national unity and symbols.,"Respect for the national anthem is important, but mandating its playing in cinemas is not legally required.",Supreme Court initially ruled that playing the national anthem before films was compulsory but later reversed the decision to make it optional.
Govind Vs. State of Madhya Pradesh,Govind,State of Madhya Pradesh,Whether police surveillance violates the right to privacy under Article 21 of the Constitution.,"The petitioner challenged police surveillance, claiming it was an infringement of his fundamental right to privacy.","High Court upheld surveillance, deeming it necessary for law enforcement purposes.",The petitioner argued that surveillance by authorities violated personal liberty and was an overreach of police powers.,"Constitution of India, Article 21.",Right to privacy under Article 21 and the reasonable limitations on surveillance for public safety.,Previous rulings on the scope of privacy and the balance between security and individual rights.,"Privacy is a fundamental right but can be reasonably restricted for law enforcement, provided safeguards are in place.","Supreme Court upheld the use of surveillance with limitations, stressing the need for safeguards and privacy protections."
