Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
Falcon-7b,MC Mehta Vs. Union of India,MC Mehta,Union of India,Corporate accountability for environmental damage caused by industrial activities.,"A hazardous gas leak caused severe harm, leading to legal scrutiny of industrial responsibility for pollution.",The High Court held the company liable and imposed penalties.,"Emphasized corporate accountability, demanding preventive measures and stringent environmental safeguards.","Environmental Protection Act, 1986; Factories Act, 1948.",Established stricter liability principles for industries causing pollution.,"Considered previous cases on environmental liability, shaping future laws on industrial disasters.",Absolute liability principle ensures that industrial enterprises causing pollution must compensate victims without exceptions.,"Supreme Court established absolute liability, making companies responsible for any industrial disasters."
Falcon-7b,Olga Tellis Vs. Bombay Municipal Corporation,Olga Tellis,Bombay Municipal Corporation,Right to shelter and livelihood as part of fundamental rights.,"The Bombay Municipal Corporation issued demolition and eviction notices to slum dwellers, leading to concerns over fundamental rights.","The High Court upheld the municipal action, arguing it was in line with urban planning regulations.",Contended that evictions without rehabilitation measures denied slum dwellers their right to life and dignity.,"Article 21, Municipal Encroachment Laws.",The right to livelihood and shelter as an extension of Article 21.,"Considered prior cases on forced evictions, emphasizing human dignity and socio-economic rights.","Livelihood and shelter are fundamental rights, and evictions must be accompanied.",Supreme Court held that slum dwellers have a right to livelihood.
Falcon-7b,Indra Sawhney Vs. Union of India,Indra Sawhney,Union of India,Constitutionality of OBC reservations and defining limits for affirmative action.,"The government implemented Mandal Commission recommendations, leading to protests and legal challenges over fairness and proportionality.","High Court ruled in favor of reservations, dismissing challenges on constitutional grounds.","Opposed reservations exceeding 50%, contending that they infringe upon equal opportunity.","Articles 14, 15, 16 (Equality, Non-discrimination, Reservations in Public Employment).",Social justice principles and constitutional limits on reservations.,Earlier decisions on reservations and merit-based selection.,"OBC reservations are legal, but economically advanced groups within OBCs must be excluded.","Affirmed OBC reservations but introduced the creamy layer test, restricting benefits to the most disadvantaged."
Falcon-7b,Minerva Mills Ltd. Vs. Union of India,Minerva Mills Ltd.,Union of India,Validity of constitutional amendments in relation to the basic structure doctrine.,"The 42nd Amendment increased the power of Directive Principles, raising concerns over fundamental rights being weakened.","High Court supported the constitutional changes, rejecting concerns over Fundamental Rights.",Contended that expanding Directive Principles at the cost of Fundamental Rights distorts constitutional balance.,"42nd Amendment, Articles 31C and 368.",Constitutional amendment powers and limitations under Article 368.,Previous rulings on the scope of constitutional amendments.,"Amendments must respect the basic structure doctrine, and Fundamental Rights remain supreme.","Supreme Court invalidated portions of the amendment, ensuring that Fundamental Rights remain protected."
Falcon-7b,ADM Jabalpur Vs. Shivkant Shukla,ADM Jabalpur,Shivkant Shukla,Validity of detentions without trial under Emergency provisions.,"The government detained individuals without providing legal remedies, citing Emergency powers.","High Court declared detentions unconstitutional, reinforcing individual liberty.",Contended that state security takes precedence over individual liberty in times of Emergency.,Emergency Provisions under the Constitution.,Doctrine of necessity vs. fundamental rights under constitutional law.,Judicial review of Emergency provisions in past cases.,National security interests can temporarily supersede fundamental rights under Emergency provisions.,"Supreme Court sided with the state, affirming the broad powers granted during an Emergency."
Falcon-7b,Kesavananda Bharati Vs. State of Kerala,Kesavananda Bharati,State of Kerala,Whether fundamental rights can be altered through constitutional amendments.,"A religious institution challenged land reform laws, arguing that Parliament’s power to amend the Constitution was not unlimited.","High Court ruled in favor of the government, validating the amendments.","Asserted that there must be limits on Parliament’s amending power, and fundamental rights should not be diluted.","Constitution of India, Article 368.","Judicial review of constitutional amendments, assessing whether amendments can modify fundamental rights.",This case established a landmark precedent on constitutional amendments.,"The amending power under Article 368 is subject to inherent limitations, preventing fundamental distortions.","The amending power under Article 368 is subject to inherent limitations, preventing fundamental distortions."
Falcon-7b,MC Mehta Vs. Union of India (Taj Trapezium Case),MC Mehta,Union of India,Whether polluting industries should be relocated to prevent damage to the Taj Mahal.,Polluting industries around the Taj Trapezium Zone (TTZ) were degrading the monument’s marble structure.,High Court directed the government to regulate industrial activity near the Taj Mahal.,Relocation of hazardous industries is necessary to prevent irreversible damage to the Taj Mahal.,"Environmental Protection Act, 1986, Water (Prevention and Control of Pollution) Act, 1974.",Heritage conservation laws and environmental impact assessments guide industrial regulation.,Earlier rulings on industrial pollution and environmental safeguards.,Polluting industries must be relocated if they pose an environmental risk to heritage sites.,Supreme Court mandated stricter environmental regulations and relocation of hazardous industries.
Falcon-7b,DK Basu Vs. State of West Bengal,DK Basu,State of West Bengal,Rights of arrested persons and safeguards against custodial abuse.,Increasing cases of police brutality and custodial deaths raised concerns over human rights violations.,High Court suggested procedural reforms but left enforcement to the discretion of authorities.,"Argued that the state must ensure the safety and dignity of arrested persons, as per Article 21.","Article 21, Criminal Procedure Code provisions on arrest and detention.",Legal safeguards against arbitrary detention and police abuse.,Previous judgments on police accountability and human rights violations.,Arrested individuals are entitled to dignity and protection from abuse.,"Supreme Court mandated procedural safeguards, including medical examinations and legal representation for detainees."
Falcon-7b,Lily Thomas Vs. Union of India,Lily Thomas,Union of India,"Validity of the Representation of the People Act, 1951.",The provision enabled sitting MPs and MLAs to avoid immediate disqualification despite criminal convictions.,"High Court ruled in favor of the provision, maintaining the status quo.",Contended that the provision enabled corruption and eroded public trust in governance.,"Constitution of India, Article 102, Article 191.",Legal interpretation of disqualification and its impact on governance.,Judicial rulings on political accountability and public trust.,Immediate disqualification strengthens democracy by ensuring accountability.,Supreme Court ruled that convicted MPs and MLAs lose their seats immediately upon conviction.
Falcon-7b,People Union for Civil Liberties Vs. Union of India,People Union for Civil Liberties (PUCL),Union of India,Legality of phone tapping and its impact on fundamental rights.,"The government was tapping phone conversations without adequate safeguards, leading to concerns over privacy violations.",High Court ruled that phone tapping was permissible under certain conditions but required oversight.,Contended that phone tapping without judicial oversight leads to misuse and human rights violations.,"Indian Telegraph Act, 1885.",Surveillance laws must adhere to constitutional safeguards.,Judicial rulings on privacy and state surveillance.,Government surveillance must be subject to checks and balances to prevent abuse.,Supreme Court mandated that phone tapping must follow strict legal procedures and oversight.
Falcon-7b,S. R. Bommai Vs. Union of India,S. R. Bommai,Union of India,Constitutional validity of dismissing state governments under Article 356.,"The President dismissed several state governments using Article 356, raising concerns over federalism and democracy.",High Court supported the central government’s authority in imposing President’s rule.,Claimed that the dismissal violated the principles of federalism and democracy.,"Constitution of India, Article 356.",Judicial review of executive power and federal structure principles.,Past judgments on President’s rule and constitutional breakdowns.,"Federalism must be maintained, and President’s rule cannot be used to suppress opposition governments.",Supreme Court ruled that judicial review is necessary to prevent misuse and protect state autonomy.
Falcon-7b,Mohd. Ahmed Khan Vs. Shah Bano Begum,Mohd. Ahmed Khan,Shah Bano Begum,Whether Section 125 CrPC overrides Muslim personal law in maintenance matters.,"Shah Bano, after being divorced, claimed maintenance under Section 125 CrPC, arguing it applies to all women.","The Court upheld Shah Bano’s claim, granting maintenance.",The petitioner argued that maintenance obligations end after the iddat period under Islamic law.,"Code of Criminal Procedure, 1973.","Section 125 CrPC, which ensures financial support irrespective of religious laws.",The case established that maintenance laws under CrPC are secular and cannot be nullified by personal laws.,"The judgment underscored that Section 125 aims to prevent destitution and applies universally, irrespective of religion.","The Supreme Court upheld the High Court’s verdict, affirming that Muslim women are entitled to maintenance beyond the iddat period."
Falcon-7b,I. R. Coelho Vs. State of Tamil Nadu,I. R. Coelho,State of Tamil Nadu,Whether the judiciary has the authority to review laws protected under the Ninth Schedule.,"Laws placed in the Ninth Schedule were claimed to be beyond judicial review, but concerns were raised about potential violations of fundamental rights.",Lower courts affirmed that the Ninth Schedule provided immunity from judicial review.,The petitioner maintained that laws violating fundamental rights should still be subject to review.,Constitutional provisions regarding the Ninth Schedule and its implications.,Fundamental principles governing judicial review and constitutional amendments.,Kesavananda Bharati and Minerva Mills cases on judicial review and constitutional protection.,The judiciary has the authority to review laws in the Ninth Schedule if they violate the Constitution’s Basic Structure.,The ruling reaffirmed that laws violating fundamental rights cannot be completely shielded from judicial review.
Falcon-7b,Vellore Citizens Welfare Forum Vs. Union of India,Vellore Citizens Welfare Forum,Union of India,Industrial waste contamination affecting local communities.,Industrial waste led to severe environmental damage.,Lower court imposed penalties on polluting industries.,Negligence by industries must be addressed under strict liability.,"Environmental Protection Act, 1986.",Strict environmental liability and industrial sustainability.,Landmark environmental cases enforcing industrial responsibility.,Polluting industries must mitigate damage and compensate victims.,Supreme Court upheld strict liability for industries.
Falcon-7b,Naz Foundation Vs. Government of NCT of Delhi,Naz Foundation,Government of NCT of Delhi,Challenge to the constitutionality of Section 377 IPC.,LGBTQ+ individuals faced criminalization and legal discrimination under Section 377.,Delhi High Court ruled that Section 377 was unconstitutional as it violated Article 21.,"Petitioner argued that criminalizing homosexuality violated the right to privacy, dignity, and equality.","Indian Penal Code, 1860.",Equality and non-discrimination principles.,Cases upholding individual autonomy and human dignity.,Legal provisions must align with evolving human rights standards.,Supreme Court reinstated Section 377 in 2013 but decriminalized it in 2018.
Falcon-7b,Puttaswamy Vs. Union of India,Justice K. S. Puttaswamy (Retd.),Union of India,Whether Aadhaar’s data collection violates the right to privacy.,"The case was a challenge to the constitutional validity of Aadhaar, focusing on whether collecting biometric data infringed on individual privacy. The government argued that Aadhaar enabled efficient governance.","The High Court ruled in favor of the government, holding that Aadhaar was constitutionally valid.",The right to privacy is a fundamental right under Article 21. Aadhaar ensures better service delivery and does not violate fundamental rights.,"Constitution of India, Article 21 (Right to Life and Personal Liberty).","Right to privacy, digital identity laws, and state surveillance.","Cases on state surveillance, personal freedom, and constitutional rights.","Privacy is a constitutionally guaranteed right, but reasonable restrictions apply.","The Supreme Court ruled that privacy is a fundamental right, but upheld Aadhaar with restrictions."
Falcon-7b,Keshub Mahindra Vs. Union of India (Bhopal Gas Tragedy Case),Keshub Mahindra,Union of India,Legal accountability of corporations in industrial disasters.,The Bhopal Gas Tragedy resulted in severe environmental and human damage. Legal proceedings focused on corporate responsibility and liability.,The court held the company liable but provided reduced criminal penalties.,"The disaster was accidental, and criminal liability should be minimal. Negligence in plant maintenance caused the leak.","Environmental laws, corporate liability statutes, and public safety regulations.","Corporate liability, industrial disaster compensation, and environmental regulations.",Landmark cases on corporate negligence and mass torts.,Industrial corporations are strictly liable for hazardous operations.,"The Supreme Court upheld corporate responsibility, ensuring financial restitution and legal accountability."
Falcon-7b,Golaknath Vs. State of Punjab,Golaknath,State of Punjab,Constitutional limits on Parliament’s power to amend fundamental rights.,"Golaknath family challenged the Constitution (Seventeenth Amendment) Act, claiming it violated their fundamental rights to property by preventing judicial review of land reform laws.",The High Court upheld Parliament’s authority to amend fundamental rights.,Fundamental rights are absolute and cannot be altered. Parliament has full amending power under Article 368.,"Constitution of India, Article 368.","Constitutional amendment rules, judicial review doctrine.",No precedent restricting Parliament’s amending power before this case.,"The ruling restricted Parliament’s authority, marking a shift toward judicial supremacy over constitutional amendments.","The Supreme Court ruled that Parliament cannot amend fundamental rights, though this decision was later reversed in Kesavananda Bharati v. State of Kerala (1973), introducing the Basic Structure Doctrine."
Falcon-7b,Union Carbide Corporation Vs. Union of India,Union Carbide Corporation,Union of India,Legality and adequacy of the compensation settlement for Bhopal Gas Tragedy victims.,"The Bhopal Gas Tragedy caused thousands of deaths and severe injuries due to a toxic gas leak from Union Carbide’s plant. In 1989, UCC and the Indian government settled the case for $470 million, but victims’ groups challenged the amount as inadequate.",The High Court upheld the settlement but allowed petitions from victims' families for additional relief.,"The agreed settlement was legally binding and should not be reopened. The compensation was insufficient, and Union Carbide should provide more financial relief.","Bhopal Gas Leak Disaster (Processing of Claims) Act, 1985.","Absolute liability principle, industrial disaster compensation laws.",Cases involving corporate liability for environmental disasters.,"The settlement must be fair, just, and ensure full rehabilitation of the victims.",The Supreme Court upheld the $470 million settlement but permitted victims to file additional claims for further compensation.
Falcon-7b,Sheela Barse Vs. State of Maharashtra,Sheela Barse,State of Maharashtra,Whether women prisoners in Maharashtra were being subjected to inhumane treatment and custodial abuse.,Journalist Sheela Barse filed a PIL after investigating custodial abuse of women prisoners in Maharashtra. The case raised concerns over violations of fundamental rights and the lack of legal protection mechanisms in prisons.,The High Court implemented some reforms but did not introduce strict enforcement measures.,"Women prisoners faced mistreatment, and urgent reforms were needed. Prison authorities argued that existing rules were sufficient.","Article 21 of the Indian Constitution, Right to Life and Dignity.",Human rights guidelines for prisoners and safeguards against custodial violence.,D.K. Basu case on custodial violence and human rights.,"Women prisoners must be protected from custodial violence, and stronger monitoring mechanisms are necessary.",The Supreme Court ordered significant reforms in the treatment and legal safeguards for women prisoners.
Falcon-7b,Bandhua Mukti Morcha Vs. Union of India,Bandhua Mukti Morcha,Union of India,Legal recognition and eradication of bonded labor under human rights law.,"A PIL was filed, exposing the widespread use of bonded labor in industries, particularly in mines and brick kilns. The case questioned the government’s failure to enforce labor laws and protect vulnerable workers.",The High Court acknowledged the problem but did not issue a comprehensive directive.,Bonded labor violates human dignity and constitutional rights. The government defended its existing labor policies.,"Bonded Labour System (Abolition) Act, 1976.","Principles of labor rights, human dignity, and welfare laws.",Prior judgments on forced labor and the enforcement of minimum wage laws.,"The practice of bonded labor is unconstitutional, and the government must act to rehabilitate affected workers.",The Supreme Court mandated strict enforcement of labor laws and directed rehabilitation measures for bonded laborers.
Falcon-7b,State of Karnataka Vs. Krishna Kumar,State of Karnataka,Krishna Kumar,Legality of state reservation policies in education.,"The State of Karnataka implemented an education policy that excluded a certain student category from reservations. The policy was challenged on constitutional grounds, asserting that denial of reservations violated fundamental rights.","The High Court ruled in favor of the students, mandating that the state uphold reservation policies fairly.","The state argued that financial limitations and administrative challenges justified restricting reservations. The students, led by Krishna Kumar, argued that reservation is a constitutional guarantee under Article 21A and must be fairly executed.","Constitution of India, Article 21A.",Reservation laws in education policy.,Indra Sawhney case on reservations.,Denying reservation access based on financial or administrative grounds is unconstitutional.,"The Supreme Court upheld the High Court’s ruling, stating that the state must ensure equitable access to education through reservations."
Falcon-7b,Ramesh Dalal Vs. Union of India,Ramesh Dalal,Union of India,Whether convicted MPs and MLAs should be immediately disqualified from holding office upon conviction.,"The petitioner raised concerns that convicted legislators continued in office due to legal delays, which allowed them to influence the system and remain in power.","The High Court ruled that MPs and MLAs could continue in office while appealing their conviction, citing provisions under the Representation of the People Act.",The petitioner argued that disqualifying convicted politicians immediately would prevent corruption and reinforce electoral integrity.,"Representation of the People Act, 1951.",Provisions for disqualification of public officials upon criminal conviction.,"Supreme Court rulings on disqualification of convicted legislators, including the Lily Thomas case.",The Supreme Court ruled that maintaining convicted legislators in office contradicts democratic principles and erodes public trust.,"The Supreme Court held that MPs and MLAs are disqualified immediately upon conviction, nullifying the previous practice of allowing them to serve until their appeal is decided."
Falcon-7b,Mohini Jain Vs. State of Karnataka,Mohini Jain,State of Karnataka,Whether the charging of capitation fees by private educational institutions violates the right to education.,The petitioner challenged the Karnataka government’s policy allowing private medical colleges to charge high capitation fees.,"The High Court ruled in favor of private medical colleges, stating that they had the right to determine their own admission policies and fee structures.",The petitioner asserted that education should be based on merit and not financial status. She argued that denying admission due to an inability to pay capitation fees violates the right to education.,"Constitution of India, Article 21A.",Provisions regulating private educational institutions and their admission processes.,"Unni Krishnan case, which further elaborated on the right to education.","The Supreme Court held that education is a fundamental right, and imposing capitation fees violates the principle of equal opportunity in access to education.","The Supreme Court struck down the practice of capitation fees as unconstitutional, reinforcing education as a fundamental right under Article 21A."
Falcon-7b,State of Maharashtra Vs. Madhukar Narayan Mardikar,State of Maharashtra,Madhukar Narayan Mardikar,Whether a woman’s right to privacy and protection under the law depends on her moral character.,"The case involved the denial of legal protection to a woman based on her profession, leading to concerns about equal legal treatment.",The High Court upheld the woman’s right to dignity and ruled that her profession should not affect her access to justice.,Petitioner argued that a woman’s moral standing could be a determining factor in her access to legal protection.,"Constitution of India, Article 21.",Gender equality and right to privacy under fundamental rights.,Landmark cases reinforcing the right to privacy and dignity for all individuals.,The right to dignity and privacy applies universally and cannot be restricted by profession.,"Supreme Court ruled that all women are entitled to equal legal protection, regardless of profession."
Falcon-7b,Jarnail Singh Vs. Lachhmi Narain Gupta,Jarnail Singh,Lachhmi Narain Gupta,Whether reservations in promotions for SC/ST employees require supporting quantifiable data.,The petitioner contested the government's decision to grant reservations in promotions for SC/ST employees without proving backwardness through quantifiable data.,The High Court ruled against automatic reservations in promotions and emphasized the need for empirical data to justify them.,The petitioner contended that the absence of empirical data on backwardness makes reservation in promotions unconstitutional.,"Constitution of India, Article 16(4A).",The necessity of data-driven policies for reservations in promotions.,"Indra Sawhney case, which established criteria for reservations, including the necessity of quantifiable data.",The Supreme Court reinforced that reservations in promotions require quantifiable evidence to prevent misuse and maintain constitutional balance.,The Supreme Court upheld the necessity of data-driven reservation policies.
Falcon-7b,Gian Kaur Vs. State of Punjab,Gian Kaur,State of Punjab,"Whether Section 306 IPC, which criminalizes abetment of suicide, violates the right to life.","The petitioner contended that the right to life under Article 21 should extend to the right to end one's life, making the penal provision on abetment of suicide invalid.","The High Court struck down Section 306 IPC as unconstitutional, reasoning that penalizing abetment of suicide contradicts the fundamental right to life.",The petitioner claimed that denying an individual the choice to end their life violates fundamental rights and personal autonomy.,"Indian Penal Code, Section 306.","The State has the authority to regulate acts that threaten life, including suicide.","P. Rathinam case, which questioned the criminalization of suicide.",The Supreme Court ruled that the right to life is about the protection of life and does not extend to its voluntary termination.,The Supreme Court overruled the P. Rathinam case and held that suicide and its abetment can be criminalized without violating fundamental rights.
Falcon-7b,K. S. Puttaswamy (Retd.) Vs. Union of India (Aadhaar Case),K. S. Puttaswamy (Retd.),Union of India,Whether the mandatory Aadhaar requirement infringes upon individual privacy rights.,"The petitioner argued that requiring Aadhaar for services such as banking, taxation, and welfare schemes constituted excessive state surveillance and data collection.",The High Court ruled that Aadhaar’s mandatory linking was justified under national security and public welfare considerations.,"Aadhaar linkage undermines personal liberty, exposes individuals to data misuse, and infringes on autonomy.","Constitution of India, Article 21.",Right to Privacy as an intrinsic part of Article 21.,"Decisions on personal liberty, data protection, and surveillance concerns.","Privacy is a fundamental right, but certain restrictions are permissible in the interest of national security and welfare distribution.","Aadhaar is constitutional but cannot be made compulsory for services like bank accounts, telecom services, and school admissions."
