Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
GPT-J-6b,Aruna Shanbaug Vs. Union of India,Aruna Shanbaug (through journalist Pinki Virani),Union of India,Whether passive euthanasia should be legally permitted in India.,"Aruna Shanbaug, a nurse, was in a vegetative state for over 30 years after a brutal assault. Journalist Pinki Virani filed a petition seeking withdrawal of life support.","High Court rejected the plea, stating that euthanasia was not legally recognized in India.",The petitioner argued that prolonging life artificially with no scope of recovery violates human dignity and the right to die with dignity.,"Constitution of India, Article 21 - Right to Life.",Supreme Court reviewed medical guidelines and international cases on euthanasia.,No prior Supreme Court ruling directly addressed euthanasia in India.,Passive euthanasia can be permitted in specific circumstances with strict guidelines and judicial oversight.,The Supreme Court allowed passive euthanasia under strict medical and legal safeguards.
GPT-J-6b,Navtej Singh Johar Vs. Union of India,Navtej Singh Johar,Union of India,Constitutionality of Section 377 IPC and its impact on LGBTQ+ rights.,"LGBTQ+ individuals, including activists and public figures, challenged Section 377 IPC, which criminalized same-sex relationships, arguing that it violated fundamental rights.","The Delhi High Court decriminalized Section 377 in 2009, holding it unconstitutional.","The Constitution, criminalizing private consensual acts between adults and infringing on dignity, equality, and freedom of expression.","Indian Penal Code, Section 377.","Fundamental rights under Articles 14 (Equality), 15 (Non-discrimination), 19 (Freedom of expression), and 21 (Right to Life and Privacy).",The K.S. Puttaswamy (Right to Privacy) case (2017) reinforced the argument that privacy and dignity are fundamental rights.,The K.S. Puttaswamy (Right to Privacy) case (2017) reinforced the argument that privacy and dignity are fundamental rights.,"The Supreme Court decriminalized Section 377 IPC in 2018, holding that consensual same-sex relationships between adults are legal, affirming LGBTQ+ rights."
GPT-J-6b,Maneka Gandhi Vs. Union of India,Maneka Gandhi,Union of India,Interpretation of personal liberty.,"The government impounded Maneka Gandhi’s passport without providing a valid reason, restricting her right to travel. She challenged the action as arbitrary and unconstitutional.","The High Court upheld the government’s decision, stating it had discretionary power under the Passports Act.","The action violated Article 21 (Right to Life and Personal Liberty), as well as Articles 14 and 19, since it was arbitrary and lacked due process.","Constitution of India, Article 21, 14, and 19.","The principle that personal liberty cannot be curtailed arbitrarily without following fair, just, and reasonable procedure.","The case reinforced the expansion of fundamental rights, particularly in interpreting Article 21 broadly.","Any restriction on personal liberty must be reasonable, just, and fair, and conform to due process of law.","The Supreme Court ruled in favor of Maneka Gandhi, significantly expanding the interpretation."
GPT-J-6b,MC Mehta Vs. Union of India,MC Mehta,Union of India,Environmental pollution and liability for industrial disasters.,"The leakage of oleum gas from a factory in Delhi led to public health hazards, raising concerns over corporate responsibility and environmental safety.",The High Court imposed fines on the company for environmental negligence.,"Argued for stricter environmental regulations, corporate liability, and state responsibility in preventing industrial hazards.","Environmental Protection Act, 1986.","The case introduced absolute liability, ensuring that industries engaging in hazardous activities bear full responsibility for environmental damage.","Linked to Bhopal Gas Tragedy rulings, reinforcing corporate accountability.","Industries engaged in hazardous activities must bear absolute liability, without exceptions, for environmental damage and public harm.","Supreme Court introduced the 'absolute liability' principle, which is stricter than the 'strict liability' rule."
GPT-J-6b,Olga Tellis Vs. Bombay Municipal Corporation,Olga Tellis,Bombay Municipal Corporation,Right to livelihood under Article 21 of the Constitution.,Slum dwellers challenged eviction orders that would render them homeless and take away their means of livelihood.,"The High Court ruled in favor of municipal authorities, allowing evictions.",Argued that forced eviction violated the fundamental right to life and livelihood under Article 21.,"Constitution of India, Article 21.",Municipal regulations on encroachment and previous rulings on right to shelter.,"Linked to previous rulings on right to shelter, reinforcing Article 21’s broader interpretation.","The right to livelihood is an integral part of the right to life, and forced evictions without alternatives violate Article 21.",Supreme Court ruled that the state must provide reasonable alternatives before eviction.
GPT-J-6b,Indra Sawhney Vs. Union of India,Indra Sawhney,Union of India,Validity of OBC reservations and the concept of 'creamy layer'.,"The Mandal Commission recommended 27% reservation for OBCs, which was challenged for exceeding reservation limits and lacking economic criteria.","High Court upheld the reservation policy, rejecting claims of excessive quotas.","Challenged excessive reservations, arguing they violated meritocracy.","Constitution of India, Articles 14, 15, 16.",Government’s reservation policy and previous rulings on affirmative action.,"Prior rulings on affirmative action, clarifying constitutional boundaries for reservations.",Reservations are valid only if they exclude the ‘creamy layer’ to ensure fairness.,Supreme Court upheld OBC reservations but mandated the exclusion of the creamy layer.
GPT-J-6b,Minerva Mills Ltd. Vs. Union of India,Minerva Mills Ltd.,Union of India,Balancing Directive Principles and Fundamental Rights under the Constitution.,"Amendments to the Constitution expanded Directive Principles, allegedly undermining Fundamental Rights, leading to a challenge under the basic structure doctrine.","High Court upheld the amendments, ruling in favor of legislative supremacy.","Argued that amendments cannot destroy fundamental rights, as it violates the basic structure doctrine.","Constitution of India, Articles 31C, 368.",Basic structure doctrine as defined in Kesavananda Bharati case.,"Kesavananda Bharati Vs. State of Kerala, which established the basic structure doctrine.","Directive Principles cannot override Fundamental Rights, and any amendment that violates this balance is unconstitutional.","Supreme Court struck down parts of the 42nd Amendment as unconstitutional, reinforcing the basic structure doctrine."
GPT-J-6b,ADM Jabalpur Vs. Shivkant Shukla,ADM Jabalpur,Shivkant Shukla,Suspension of fundamental rights during Emergency.,"During the Emergency (1975-77), citizens were detained without trial, raising concerns about right to life and liberty.","High Court ruled in favor of detained individuals, holding that even in an Emergency, fundamental rights must be protected.","Argued that fundamental rights could be suspended during an Emergency, under Article 359 of the Constitution.","Constitution of India, Article 359.",Emergency provisions and previous rulings on state power during national emergencies.,Previous rulings on state power during national emergencies.,"State has overriding power during an Emergency, even over fundamental rights, based on the broad scope of Article 359.","Supreme Court upheld the suspension of fundamental rights during Emergency, ruling in favor of the government."
GPT-J-6b,Kesavananda Bharati Vs. State of Kerala,Kesavananda Bharati,State of Kerala,Whether Parliament has unlimited power to amend the Constitution under Article 368.,"The petitioner, representing a religious institution, challenged land reform laws, arguing they violated fundamental rights.","High Court upheld the land reform laws, stating they were within constitutional limits.","Parliament should not have absolute power to amend the Constitution, as it could threaten democracy and fundamental rights.","Constitution of India, Article 368.","Doctrine of Basic Structure, which restricts Parliament from altering the core principles of the Constitution.",No prior ruling limiting Parliament's power to amend the Constitution.,Parliament's amending power is not absolute and must respect the basic structure of the Constitution.,"Supreme Court upheld the Basic Structure Doctrine, ruling that Parliament’s power to amend the Constitution is limited."
GPT-J-6b,MC Mehta Vs. Union of India (Taj Trapezium Case),MC Mehta,Union of India,Extent of government responsibility in preventing environmental damage to the Taj Mahal.,"Studies showed that industrial emissions were causing acid rain, leading to discoloration and deterioration of the Taj Mahal.",High Court ordered industries to implement pollution-control measures.,Government failure to regulate industrial pollution violated environmental protection laws and endangered a national heritage site.,"Environmental Protection Act, 1986, Air (Prevention and Control of Pollution) Act, 1981.",Government must balance industrial development with environmental conservation.,Prior cases on environmental liability and state responsibility for heritage conservation.,The government must take proactive measures to safeguard historical monuments from environmental threats.,Supreme Court ordered relocation of polluting industries near the Taj Mahal to protect the monument.
GPT-J-6b,DK Basu Vs. State of West Bengal,DK Basu,State of West Bengal,Preventing custodial violence and ensuring safeguards for arrested individuals.,Reports of torture and deaths in police custody led to a petition for stronger legal safeguards.,High Court recognized the need for procedural safeguards but did not establish mandatory guidelines.,Called for binding procedural guidelines to protect detainees from torture and inhumane treatment.,"Constitution of India, Article 21, Criminal Procedure Code, Section 41.",Earlier cases on custodial rights and human dignity.,The state must ensure safeguards against custodial violence and protect fundamental rights of detainees.,"Fundamental rights extend to arrested individuals, ensuring protection from custodial abuse.","Supreme Court issued mandatory guidelines for arrests and custodial treatment, emphasizing transparency and accountability."
GPT-J-6b,Lily Thomas Vs. Union of India,Lily Thomas,Union of India,Disqualification of convicted legislators from holding office.,"Petitioner challenged Section 8(4) of the Representation of the People Act, which allowed convicted legislators to remain in office while appealing their conviction.","High Court upheld Section 8(4), allowing legislators to hold office pending appeal.",Argued that convicted legislators should be immediately disqualified to maintain the integrity of the democratic process.,"Representation of the People Act, 1951, Section 8(4).",Principles of electoral integrity and democratic accountability.,Previous cases on electoral disqualification and governance ethics.,Allowing convicted legislators to continue in office undermines democratic principles and weakens public trust.,"Supreme Court struck down Section 8(4), enforcing immediate disqualification of convicted legislators."
GPT-J-6b,People's Union for Civil Liberties Vs. Union of India,People Union for Civil Liberties (PUCL),Union of India,Right to privacy in telephone tapping cases.,"PUCL challenged government policies allowing phone tapping, arguing that it violated privacy rights.",High Court upheld the government’s power to tap phones under national security exceptions.,"Argued that unrestricted phone tapping violates Article 21 of the Constitution, which guarantees the right to privacy.","Indian Telegraph Act, 1885.",Privacy rights must be balanced with national security concerns.,Previous cases on privacy and fundamental rights.,Phone tapping is an invasion of privacy and requires strict procedural safeguards.,Supreme Court ruled that phone tapping requires procedural safeguards to prevent misuse.
GPT-J-6b,S. R. Bommai Vs. Union of India,S. R. Bommai,Union of India,Scope and limitations of the President’s rule under Article 356.,"The Karnataka government was dismissed by the President under Article 356, leading to a dispute over the misuse of central authority in state matters.","High Court upheld the dismissal, ruling that it was within the President’s discretionary powers.",Argued that Article 356 should not be misused to arbitrarily dismiss democratically elected state governments.,"Constitution of India, Article 356.",Doctrine of federalism and judicial review.,Previous rulings on the limits of presidential power over state governments.,President’s rule must be subject to judicial review to prevent arbitrary dismissals.,Supreme Court placed restrictions on the use of Article 356 and allowed judicial review of state government dismissals.
GPT-J-6b,Mohd. Ahmed Khan Vs. Shah Bano Begum,Mohd. Ahmed Khan,Shah Bano Begum,Whether a Muslim woman is entitled to maintenance despite the provisions of Muslim personal law.,"Shah Bano, a 62-year-old Muslim woman, was divorced and denied maintenance. She filed for support under Section 125 CrPC, which applies to all religions.","The trial court ruled in favor of Shah Bano, granting her maintenance under Section 125 CrPC.","The petitioner argued that under Muslim personal law, a husband is not obligated to provide maintenance beyond the iddat period.","Code of Criminal Procedure, 1973.","Section 125 CrPC, which mandates maintenance for divorced women unable to support themselves.","The ruling reinforced that Section 125 CrPC applies to all women, including Muslims, overriding conflicting religious laws.",The court emphasized that personal laws cannot deny individuals the fundamental right to maintenance.,"The Supreme Court ruled in favor of Shah Bano, granting her maintenance under Section 125 CrPC."
GPT-J-6b,I. R. Coelho Vs. State of Tamil Nadu,I. R. Coelho,State of Tamil Nadu,Can laws included in the Ninth Schedule be exempt from judicial review.,"The government argued that placing laws in the Ninth Schedule made them immune to judicial review, but the petitioner challenged this on the grounds of fundamental rights violations.",High Court ruled that laws in the Ninth Schedule were beyond judicial review.,The petitioner contended that judicial review is an essential feature of the Constitution and laws in the Ninth Schedule should not be immune.,"Article 31B, which allows laws to be placed in the Ninth Schedule for protection.","Basic Structure Doctrine, which limits parliamentary powers.","Kesavananda Bharati case (1973) established the Basic Structure Doctrine, limiting parliamentary power.",Any law violating fundamental rights cannot be shielded from judicial review under the Ninth Schedule.,The Supreme Court held that post-Kesavananda laws in the Ninth Schedule are subject to judicial scrutiny.
GPT-J-6b,Vellore Citizens Welfare Forum Vs. Union of India,Vellore Citizens Welfare Forum,Union of India,Environmental pollution caused by tannery waste.,"Tanneries discharged untreated effluents, contaminating groundwater.",High Court mandated environmental measures and compensation.,Industries should be accountable for environmental damage.,"Environmental Protection Act, 1986.",Polluter Pays Principle and sustainability guidelines.,Corporate accountability for environmental harm cases.,Industries found guilty of pollution are liable for compensation.,Supreme Court enforced strict pollution control measures.
GPT-J-6b,Naz Foundation Vs. Government of NCT of Delhi,Naz Foundation,Government of NCT of Delhi,Legality of Section 377 and its impact on LGBTQ+ rights.,"Naz Foundation challenged Section 377 of the IPC, arguing that it criminalized consensual same-sex relationships and violated fundamental rights.","Delhi High Court struck down Section 377, citing privacy and equality.",Section 377 led to discrimination against LGBTQ+ individuals and violated personal liberty.,"Indian Penal Code, 1860.",Right to privacy and personal liberty as guaranteed by the Constitution.,Judgments reinforcing privacy and dignity as fundamental rights.,Laws should evolve to protect the dignity and rights of marginalized communities.,"Delhi High Court's decision was challenged, leading to a Supreme Court reversal in 2013."
GPT-J-6b,Puttaswamy Vs. Union of India,Justice K. S. Puttaswamy (Retd.),Union of India,Whether the right to privacy is a fundamental right under the Indian Constitution.,"The petitioner challenged the Aadhaar scheme, arguing that it violated the right to privacy by mandating biometric data collection. The government defended Aadhaar as essential for welfare schemes and national security.","The High Court upheld Aadhaar, stating that privacy was not an absolute fundamental right.","The right to privacy is a fundamental right under Article 21. Privacy is not a fundamental right, and Aadhaar is needed for public welfare and security.","Constitution of India, Article 21 (Right to Life and Personal Liberty).","Privacy rights, Fundamental Rights under the Constitution, and data protection laws.","Previous cases on individual autonomy, personal liberty, and privacy rights.",Privacy is an intrinsic part of personal liberty and is protected under Article 21.,"The Supreme Court unanimously ruled that the right to privacy is a fundamental right under Article 21. Aadhaar cannot violate privacy, but it is valid for limited use."
GPT-J-6b,Keshub Mahindra Vs. Union of India (Bhopal Gas Tragedy Case),Keshub Mahindra,Union of India,Whether Union Carbide and its executives should be held liable for the gas tragedy.,A toxic gas leak from Union Carbide's plant in Bhopal led to mass casualties and long-term health effects. The case revolved around corporate negligence and victim compensation.,Lower courts imposed fines but reduced charges of culpable homicide to negligence.,The gas leak was unforeseeable and not due to criminal negligence. Union Carbide failed to implement safety measures.,"Environmental Protection Act, 1986, and Indian Penal Code, Section 304A.","Corporate responsibility, environmental safety laws, and criminal negligence.",Past rulings on industrial accidents and corporate accountability.,"Corporate entities must ensure the highest safety standards, and failure leads to liability.","Supreme Court affirmed corporate liability, imposing penalties and mandating compensation for affected families."
GPT-J-6b,Golaknath Vs. State of Punjab,Golaknath,State of Punjab,Whether Parliament has the authority to amend fundamental rights under the Constitution.,"The petitioner challenged the validity of the Constitution (Seventeenth Amendment) Act, which sought to include land reform laws in the Ninth Schedule to prevent judicial review.","The High Court ruled that Parliament has the power to amend the Constitution, including fundamental rights.","Fundamental rights are beyond the scope of parliamentary amendments. Parliament has the authority to amend any part of the Constitution, including fundamental rights.","Constitution of India, Article 368.",Doctrine of implied limitations on constitutional amendments.,No explicit prior ruling restricting Parliament’s amendment powers.,"The Supreme Court held that fundamental rights cannot be amended by Parliament, limiting its constitutional powers.","The Supreme Court ruled that Parliament has no authority to amend fundamental rights, but this was later overruled in Kesavananda Bharati v. State of Kerala (1973) by establishing the Basic Structure Doctrine."
GPT-J-6b,Union Carbide Corporation Vs. Union of India,Union Carbide Corporation,Union of India,Whether the compensation awarded for the Bhopal Gas Tragedy victims was adequate and final.,"After the 1984 Bhopal Gas Tragedy, Union Carbide Corporation (UCC) and the Indian government reached a settlement of $470 million to compensate the victims. Victims' groups contested this amount, arguing it was insufficient.",The High Court upheld the settlement but faced legal challenges from affected victims seeking additional compensation.,"The settlement was fair and should not be reopened. The compensation was inadequate, and the company should be held further accountable.","Bhopal Gas Leak Disaster (Processing of Claims) Act, 1985.",Principles of absolute liability and fair compensation for victims.,Previous industrial disaster liability cases.,Compensation should be just and sufficient to cover victims’ damages.,The Supreme Court upheld the $470 million settlement but allowed victims to pursue additional claims for further compensation.
GPT-J-6b,Sheela Barse Vs. State of Maharashtra,Sheela Barse,State of Maharashtra,Rights of women prisoners and protection from custodial violence.,"Sheela Barse, a journalist, reported the inhumane treatment of women prisoners in Maharashtra, which led to a Public Interest Litigation (PIL). The case raised concerns over custodial abuse and the lack of legal safeguards for women in prisons.",The High Court issued some reforms but did not establish strict monitoring guidelines.,"Women prisoners were subjected to ill-treatment and needed legal protection.Prison regulations were already in place, and new interventions were unnecessary.","Constitution of India, Article 21 (Right to Life and Personal Liberty).",Guidelines for prisoner rights and custodial safety.,D.K. Basu case on custodial violence and fundamental rights.,"Women prisoners must be protected from abuse, and prisons should be strictly monitored to prevent custodial violence.",The Supreme Court ordered comprehensive reforms to improve the treatment and protection of women prisoners.
GPT-J-6b,Bandhua Mukti Morcha Vs. Union of India,Bandhua Mukti Morcha,Union of India,Bonded labor and human rights violations in India.,"A (PIL) was filed by Bandhua Mukti Morcha, highlighting inhumane working conditions of bonded laborers. The case addressed non-payment of wages, exploitation by employers, and lack of government intervention.",The High Court provided limited relief but did not frame a broader labor rights policy.,"Bonded labor violates fundamental rights, and the government must take immediate action. The government claimed that measures were already in place to address bonded labor.","Bonded Labour System (Abolition) Act, 1976.",Human Rights and Labor Welfare Laws.,Previous rulings on forced labor and minimum wage protections.,Bonded labor violates the Constitution and must be completely eradicated.,The Supreme Court ordered the government to create policies for the rehabilitation of bonded laborers.
GPT-J-6b,State of Karnataka Vs. Krishna Kumar,State of Karnataka,Krishna Kumar,Right to education and reservation policies.,The State of Karnataka's education policy was challenged for denying reservations to certain student categories. The case revolved around equitable access to education and whether economic or administrative limitations justified exclusion from reservations.,"The High Court ruled in favor of students, stating that reservation policies should be implemented fairly.",The government argued that financial and administrative constraints justified the exclusion of certain categories from reservations. Krishna Kumar contended that reservation is a constitutional right and should be applied fairly without discrimination.,"Constitution of India, Article 21A (Right to Education).",Reservation policies under education laws.,Indra Sawhney case on reservations.,"Equal access to education is a fundamental right, and reservations should be implemented fairly without arbitrary exclusions.","The Supreme Court ruled that the state must ensure fair reservation policies in education, upholding the High Court's decision."
GPT-J-6b,Ramesh Dalal Vs. Union of India,Ramesh Dalal,Union of India,Whether MPs and MLAs should be disqualified immediately upon conviction or allowed to continue in office until the appeal process is completed.,"The petitioner argued that convicted legislators should not be allowed to remain in office while their appeal is pending, as it undermines democratic integrity and allows misuse of power.",The High Court upheld the existing provisions allowing legislators to remain in office until their appeals were fully exhausted.,The petitioner contended that permitting convicted politicians to stay in office weakens public trust in governance and allows misuse of resources.,"Representation of the People Act, 1951 (Section 8(4)).",Legal provisions governing disqualification of convicted individuals from public office.,Lily Thomas case on electoral disqualification.,The Supreme Court emphasized that allowing convicted MPs and MLAs to remain in office contradicts democratic principles.,"The Supreme Court ruled that convicted legislators are disqualified immediately upon conviction, overturning the lower court's decision."
GPT-J-6b,Mohini Jain Vs. State of Karnataka,Mohini Jain,State of Karnataka,Whether the imposition of capitation fees by private medical colleges violates the fundamental right to education.,"The petitioner, Mohini Jain, was denied admission to a private medical college due to her inability to pay a high capitation fee. She challenged the practice, arguing that education should not be a privilege limited to those who can afford excessive fees.","The High Court upheld the private colleges' right to charge capitation fees, stating that private institutions had autonomy in fee structures.","The petitioner contended that education is a fundamental right under the Constitution of India, and charging capitation fees limits access to education based on financial status, violating the principle of equality.","Constitution of India, Article 21A.",Regulations concerning the operation and fee structure of private educational institutions.,Unni Krishnan case on the right to education.,The Supreme Court emphasized that education is a fundamental right and that economic barriers should not restrict access to it.,The Supreme Court ruled that capitation fees are unconstitutional and affirmed that the right to education is protected under Article 21A of the Constitution.
GPT-J-6b,State of Maharashtra Vs. Madhukar Narayan Mardikar,State of Maharashtra,Madhukar Narayan Mardikar,Whether a woman’s legal rights and dignity should be compromised based on her profession.,"A woman, due to her profession as a prostitute, was not granted the same legal protection as other women. The case examined whether fundamental rights apply irrespective of social status.","The High Court affirmed that every woman, regardless of profession, deserves legal protection.",Petitioner contended that legal protection should consider a woman’s character and profession.,"Constitution of India, Article 21.",Protection of women’s rights under constitutional law.,Previous cases affirming the equal application of constitutional rights.,Denying legal protection based on profession is discriminatory and violates fundamental rights.,Supreme Court held that legal protection cannot be denied based on a woman’s profession.
GPT-J-6b,Jarnail Singh Vs. Lachhmi Narain Gupta,Jarnail Singh,Lachhmi Narain Gupta,Legality of reservations in promotions for SC/ST employees.,The case challenged the validity of providing reservations in promotions for SC/ST employees without proper data on backwardness and inadequate representation.,The High Court ruled that blanket reservations in promotions without supporting data violate constitutional principles.,The petitioner argued that the state must provide quantifiable data demonstrating the backwardness and inadequate representation of SC/ST employees before granting reservations in promotions.,"Constitution of India, Article 16(4A).",Reservation policies in public employment requiring justification through data.,Indra Sawhney case on reservation and the requirement of proving backwardness for reservations.,Reservations in promotions must be supported by data proving backwardness and inadequate representation to ensure fairness.,The Supreme Court ruled that reservations in promotions are valid but must be backed by empirical data proving backwardness.
