Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
SaulLM-7B,Aruna Shanbaug Vs. Union of India,Aruna Shanbaug (through journalist Pinki Virani),Union of India,Whether passive euthanasia is legally permissible under strict guidelines.,"A prolonged vegetative state case led to a plea for withdrawal of life support, questioning the legality of passive euthanasia.",The High Court rejected the plea for passive euthanasia.,The petitioner contended that continued treatment in a vegetative state infringes on human dignity and rights.,Article 21 - Right to Life.,Guidelines provided by medical board review regarding passive euthanasia.,"Prior to this case, there was no direct judicial ruling on euthanasia.",The Court held that passive euthanasia is permissible if carried out under regulated.,The Supreme Court ultimately permitted passive euthanasia under carefully defined guidelines.
SaulLM-7B,Navtej Singh Johar Vs. Union of India,Navtej Singh Johar,Union of India,"Whether Section 377 IPC, which criminalizes consensual same-sex relationships, violates constitutional freedoms.","LGBTQ+ petitioners argued that criminalizing consensual sexual conduct infringes on dignity, equality, and privacy.","The High Court decriminalized Section 377, but Supreme Court later overturned it.",The petitioner maintained that Section 377 infringes upon the fundamental rights of LGBTQ+ individuals.,"Indian Penal Code, Section 377.","Emphasis on constitutional guarantees of privacy, equality, and dignity.",Prior judicial decisions affirming individual rights and privacy in matters of personal conduct.,The decision was based on the principle that criminalizing consensual private conduct infringes.,"The Supreme Court struck down Section 377, thereby decriminalizing consensual same-sex relationships."
SaulLM-7B,Maneka Gandhi Vs. Union of India,Maneka Gandhi,Union of India,Whether the right to travel abroad is part of the right to personal liberty.,"The petitionerâ€™s passport was impounded without giving her a valid reason, raising concerns over personal liberty.",The High Court upheld the government decision.,Petitioner contended that the action violated Article 21 and the principles of natural justice.,"Constitution of India, Article 21.","Passports Act, 1967.",Prior judicial decisions mandate that any curtailment of personal liberty must be substantiated.,Any law restricting personal liberty must follow the principles of fairness and due process.,"The Supreme Court ruled in favor of the petitioner, expanding the scope of Article 21."
SaulLM-7B,MC Mehta Vs. Union of India,MC Mehta,Union of India,Whether industries should be held absolutely liable for environmental hazards and industrial disasters.,A factory’s oleum gas leakage raised serious issues of corporate accountability and environmental safety.,The High Court imposed fines against the company for environmental violations.,The petitioner demanded enhanced regulatory oversight and greater corporate accountability for environmental harm.,"Environmental Protection Act, 1986.",Emphasis on strict and absolute liability principles in environmental jurisprudence.,Citing precedents such as the Bhopal Gas Tragedy case rulings.,"Industries engaged in hazardous activities are subject to absolute liability, regardless of fault.",Supreme Court introduced the â€˜absolute liabilityâ€™ principle for environmental hazards.
SaulLM-7B,Olga Tellis Vs. Bombay Municipal Corporation,Olga Tellis,Bombay Municipal Corporation,Whether forced eviction without providing alternatives violates the right to life and livelihood under Article 21.,Eviction orders against slum dwellers were contested on the grounds that they would deprive residents.,The High Court upheld the eviction orders based on existing municipal regulations.,The petitioner contended that compulsory eviction without reasonable alternatives infringes upon the constitutional right to shelter and livelihood.,"Constitution of India, Article 21.",Municipal regulations governing encroachment must be balanced against fundamental rights.,Prior judicial decisions emphasized that the right to livelihood.,"The decision rests on the principle that, before eviction.",The Supreme Court held that eviction cannot be enforced without ensuring adequate rehabilitation measures for affected residents.
SaulLM-7B,Indra Sawhney Vs. Union of India,Indra Sawhney,Union of India,Whether OBC reservations are constitutional when the 'creamy layer' is excluded to ensure fairness.,"The case involved a challenge to the 27% reservation for OBCs, arguing that overextension of reservation violates equality.","The High Court endorsed the reservation policy, subject to modifications.",The petitioner maintained that reservation beyond a certain limit undermines equality.,"Constitution of India, Articles 14, 15, 16.",Reservation guidelines require that the benefits be limited by excluding the 'creamy layer'.,Prior decisions on affirmative action stress that reservations must be balanced to maintain fairness.,The decision was based on the principle that reservations are constitutional only if the 'creamy layer' is excluded to ensure equal opportunity.,"The Supreme Court affirmed OBC reservations, mandating the exclusion of the 'creamy layer' to preserve fairness."
SaulLM-7B,Minerva Mills Ltd. Vs. Union of India,Minerva Mills Ltd.,Union of India,Whether constitutional amendments can validly balance Directive Principles against Fundamental Rights.,The petitioner challenged constitutional amendments on the ground that they undermined the basic structure doctrine.,The High Court upheld the amendments.,The petitioner contended that amendments that impair or nullify Fundamental Rights are unconstitutional.,"Constitution of India, Articles 31C, 368.",The judicial doctrine from Kesavananda Bharati that asserts the inviolability of the Constitution’s basic structure.,Kesavananda Bharati Vs. State of Kerala.,The decision was based on the principle that the Directive Principles of State Policy cannot supersede Fundamental Rights.,The Supreme Court invalidated portions of the amendment.
SaulLM-7B,ADM Jabalpur Vs. Shivkant Shukla,ADM Jabalpur,Shivkant Shukla,Whether the suspension of fundamental rights under the Emergency provisions is constitutionally valid.,"During the Emergency period (1975–77), detentions without trial raised profound issues regarding the protection of life and liberty.",The High Court ruled in favor of upholding detainees’ rights.,"The petitioner contended that, under Article 359, the State possesses overriding power during an Emergency.","Constitution of India, Article 359.",The emergency provisions authorize the State to curtail certain rights.,Judicial precedents at the time supported extensive state authority during Emergency.,"The decision rested on the doctrine that during an Emergency, the State’s power to suspend rights may supersede individual liberties.",The Supreme Court initially upheld the suspension of fundamental rights during the Emergency.
SaulLM-7B,Kesavananda Bharati Vs. State of Kerala,Kesavananda Bharati,State of Kerala,Whether Parliament’s power under Article 368 is subject to limitations by the basic structure doctrine.,The petitioner disputed constitutional amendments affecting fundamental rights.,The High Court validated the land reform laws without addressing the constitutional amendment issue.,The petitioner maintained that amendments undermining the Constitution’s core structure are impermissible.,"Constitution of India, Article 368.",The basic structure doctrine limits the power of constitutional amendments.,No prior case had clearly set limits on Parliament’s power until this decision.,"The judgment establishes that while Parliament may amend the Constitution, it cannot change its fundamental framework.","The Supreme Court affirmed the basic structure doctrine, thereby constraining Parliament’s amendment power."
SaulLM-7B,MC Mehta Vs. Union of India (Taj Trapezium Case),MC Mehta,Union of India,Whether industrial pollution jeopardizing the Taj Mahal mandates stringent regulatory measures.,"Pollution from nearby industries threatened the monument's integrity, leading to legal intervention.",High Court mandated pollution-control measures by industries.,Petitioner contended that relocating polluting industries is necessary to safeguard the Taj Mahal.,"Environmental Protection Act, 1986.",Air and Water Pollution Control Rules.,Prior rulings on environmental protection and heritage conservation.,Historic monuments require robust protection from environmental hazards.,Supreme Court ordered the relocation of polluting industries to protect the Taj Mahal.
SaulLM-7B,DK Basu Vs. State of West Bengal,DK Basu,State of West Bengal,Whether mandatory safeguards should be imposed to protect arrested individuals from custodial abuse.,A series of custodial torture incidents and deaths spurred the filing of a PIL for stronger arrest and detention safeguards.,The High Court proposed guidelines to ensure the safety of detainees.,"The petitioner contended that without statutory safeguards, arrests and detention practices would continue to violate human rights.","Constitution of India, Article 21.",Guidelines governing arrest and detention procedures must protect the rights of detainees.,Prior rulings have stressed that protecting fundamental rights during custody is essential for human rights accountability.,The decision is based on the principle that arrested individuals must be safeguarded against abuse under constitutional law.,The Supreme Court mandated comprehensive guidelines to protect detainees during arrest and custody.
SaulLM-7B,Lily Thomas Vs. Union of India,Lily Thomas,Union of India,Whether convicted legislators should be immediately disqualified under the Representation of the People Act.,"The petitioner contended that Section 8(4) permitted convicted legislators to remain in office during appeal, thereby compromising political accountability.","The High Court upheld the provision, maintaining that convicted legislators could continue in office pending appeal.",The petitioner asserted that immediate disqualification is essential to uphold democratic integrity.,"Representation of the People Act, 1951.",Disqualification norms require that individuals convicted of offenses be removed from legislative positions without delay.,Prior decisions on electoral reforms stress that allowing convicted legislators to remain in office undermines democratic accountability.,The core principle is that permitting convicted legislators to continue in office is contrary to the democratic mandate of political accountability.,"The Supreme Court invalidated Section 8(4), thereby mandating the immediate disqualification of convicted legislator."
SaulLM-7B,People Union for Civil Liberties Vs. Union of India,People Union for Civil Liberties (PUCL),Union of India,Whether telephone tapping infringes on the right to privacy.,PUCL contended that government-sanctioned phone tapping violates privacy and fundamental rights.,The High Court supported phone tapping for national security.,"The petitioner asserted that phone tapping, if unregulated, infringes upon constitutional guarantees of privacy.","Indian Telegraph Act, 1885.",Rules governing surveillance and interception require strict safeguards.,Prior decisions have stressed that any intrusion into personal privacy must be justified.,The principle is that any phone tapping must be strictly regulated to prevent misuse of surveillance powers.,The Supreme Court mandated that phone tapping be subject to clear procedural safeguards to protect fundamental privacy rights.
SaulLM-7B,S. R. Bommai Vs. Union of India,S. R. Bommai,Union of India,Whether Article 356 is subject to judicial review to prevent misuse in dismissing elected state governments.,The dismissal of the Karnataka government under Article 356 raised questions about central overreach and federal balance.,The High Court endorsed the dismissal.,The petitioner contended that misuse of Article 356 to dismiss democratically elected governments violates federal principles.,"Constitution of India, Article 356.",Principles of federalism and judicial oversight restrict arbitrary application.,Judicial precedents mandate that any invocation of Article 356 must be subject to strict judicial review.,The decision establishes that Article 356 cannot be used arbitrarily.,"The Supreme Court imposed limitations on Article 356, ensuring that any dismissal of a state government is subject to review."
SaulLM-7B,Mohd. Ahmed Khan Vs. Shah Bano Begum,Mohd. Ahmed Khan,Shah Bano Begum,Whether a divorced Muslim woman is entitled to maintenance under Section 125 of the CrPC.,"Shah Bano, a 62-year-old Muslim woman, challenged her exclusion from maintenance benefits after divorce, invoking Section 125 CrPC, applicable irrespective of religious personal law.",The High Court granted Shah Bano maintenance under Section 125 CrPC.,"The petitioner contended that, under Muslim personal law, maintenance beyond the iddat period is not mandated.","Code of Criminal Procedure, 1973.","Maintenance rights under Section 125 CrPC must be applied universally, irrespective of personal laws.",Judicial precedents affirm that maintenance under Section 125 CrPC is available to divorced women regardless of religious personal law.,"The core principle is that Section 125 CrPC guarantees maintenance to divorced women, thereby ensuring economic security.","The Supreme Court affirmed the High Court's ruling, thereby granting Shah Bano maintenance."
SaulLM-7B,I. R. Coelho Vs. State of Tamil Nadu,I. R. Coelho,State of Tamil Nadu,Whether laws in the Ninth Schedule can be reviewed by the judiciary if they infringe fundamental rights.,"Certain laws were included in the Ninth Schedule to protect them from judicial scrutiny, prompting challenges regarding fundamental rights.",The High Court maintained that the laws in the Ninth Schedule were shielded from judicial review.,The petitioner contended that any law in the Ninth Schedule must be subject to judicial review if it violates the Constitution's basic structure.,"Constitution of India, Article 31B and Ninth Schedule.",The basic structure doctrine mandates that even laws in the Ninth Schedule must conform to constitutional fundamental rights.,Judicial precedents from Kesavananda Bharati affirm that no law.,The principle established is that laws shielded under the Ninth Schedule remain subject to judicial review.,The Supreme Court held that such laws must be reviewed by the judiciary and invalidated if found to violate constitutional guarantees.
SaulLM-7B,Vellore Citizens Welfare Forum Vs. Union of India,Vellore Citizens Welfare Forum,Union of India,Whether the environmental damage caused by tanneries in Tamil Nadu necessitates applying the Polluter Pays Principle.,"Tanneries were found to be contaminating water sources, leading to significant public health and environmental concerns.",The High Court directed that affected communities receive compensation for the environmental damage caused by the tanneries.,The petitioner maintained that industries causing environmental harm should bear the cost of remediation under the Polluter Pays Principle.,"Environmental Protection Act, 1986.",The rules require that industries must internalize the cost of pollution prevention and remedial measures.,Prior judicial decisions have underscored corporate accountability.,The decision is based on the principle that polluting industries should be financially liable for preventing and correcting environmental harm.,"The Supreme Court upheld the Polluter Pays Principle, mandating both compensation for affected individuals and enhanced regulatory controls."
SaulLM-7B,Naz Foundation Vs. Government of NCT of Delhi,Naz Foundation,Government of NCT of Delhi,"Whether Section 377 of the IPC, by criminalizing consensual same-sex relationships, violates fundamental rights.","The petitioner challenged Section 377, asserting that its application to consensual homosexual conduct infringed on constitutional freedoms.",The Delhi High Court declared Section 377 unconstitutional for violating the right to life and personal liberty.,"Petitioner argued that criminalizing homosexuality violated the right to privacy, dignity, and equality.","Indian Penal Code, 1860.","The decision hinges on the protection of fundamental Rights under Articles 14, 15, 19, and 21.",Prior judicial decisions on personal liberty and privacy supported the challenge to Section 377.,"The principle established is that any law criminalizing private, consensual behavior infringes on fundamental constitutional rights.","The Supreme Court's subsequent rulings, after initially overturning the High Court decision."
SaulLM-7B,Puttaswamy Vs. Union of India,Justice K. S. Puttaswamy (Retd.),Union of India,Whether the right to privacy is a fundamental right.,The Aadhaar scheme's collection of biometric data was contested as a violation of privacy rights.,The High Court validated the Aadhaar scheme on constitutional grounds.,Petitioner argued that the right to privacy is an essential part of the right to life and personal liberty under Article 21.,"Constitution of India, Article 21.",Fundamental Rights and Data Protection Laws.,Prior rulings affirming individual autonomy against unwarranted state surveillance.,The principle established is that privacy is a constitutionally guaranteed right.,The Supreme Court unanimously affirmed that privacy is fundamental.
SaulLM-7B,Keshub Mahindra Vs. Union of India (Bhopal Gas Tragedy Case),Keshub Mahindra,Union of India,Whether companies handling hazardous substances can be held absolutely liable for industrial disasters.,"A catastrophic gas leak from the Union Carbide plant in Bhopal resulted in massive casualties, sparking litigation over corporate accountability.",The High Court imposed penalties on the company while limiting criminal liability.,The petitioner contended that the tragedy resulted from an unforeseen accident rather than negligent conduct.,"Environmental Protection Act, 1986.",Corporate liability principles mandate strict accountability for hazardous activities.,The MC Mehta case established that companies involved in hazardous activities can be held absolutely liable.,The core principle is that firms engaged in high-risk industrial activities must bear absolute liability for resulting harm.,The Supreme Court held Union Carbide responsible and mandated compensation for the victims.
SaulLM-7B,Golaknath Vs. State of Punjab,Golaknath,State of Punjab,Whether Parliament’s authority under Article 368 extends to amending or curtailing fundamental rights.,"The petitioner disputed the validity of the Seventeenth Amendment, contending that constitutional amendments cannot alter fundamental rights.",High Court upheld Parliamentâ€™s power to amend the Constitution.,The petitioner maintained that fundamental rights are inviolable and should not be subject to amendment by Parliament.,"Constitution of India, Article 368.",The amendment power is subject to implied limitations to protect the core of the Constitution.,No prior ruling restricting Parliament amendment powers.,Fundamental rights cannot be allowed to curtail fundamental rights.,The Supreme Court initially held that fundamental rights were beyond amendment.
SaulLM-7B,Union Carbide Corporation Vs. Union of India,Union Carbide Corporation,Union of India,Whether the settlement adequately compensates the victims of the Bhopal Gas Tragedy.,"A settlement of  was reached between the government and Union Carbide following the Bhopal disaster, sparking controversy.","The High Court approved the settlement, though it encountered significant opposition from affected victims.",The petitioner maintained that the settlement reflected a fair compensation package.,"Bhopal Gas Leak Disaster Act, 1985.",Principles of absolute liability and victim compensation.,Precedents in industrial disaster liability emphasize fair  for affected victims.,The principle is that compensation must be equitable and adequately meet the needs of the victims.,The Supreme Court upheld the settlement while permitting additional claims for further compensation if justified.
SaulLM-7B,Sheela Barse Vs. State of Maharashtra,Sheela Barse,State of Maharashtra,Whether the rights of women prisoners are adequately protected from custodial abuse.,A PIL was filed following reports of inhumane treatment of women prisoners in Maharashtra.,The High Court implemented certain reforms without imposing stringent guidelines for the protection of women prisoners.,The petitioner contended that the ill-treatment of women prisoners necessitated robust safeguards and strict monitoring.,"Constitution of India, Article 21.",Existing guidelines governing prisoner rights must ensure comprehensive custodial safety measures.,Referencing the DK Basu judgment on custodial violence as a benchmark for state accountability.,The underlying principle is that women prisoners are entitled to full protection from abuse.,The Supreme Court mandated comprehensive reforms to ensure the humane treatment and protection of women prisoners.
SaulLM-7B,Bandhua Mukti Morcha Vs. Union of India,Bandhua Mukti Morcha,Union of India,Whether the conditions of bonded labor violate fundamental human rights and labor welfare standards.,A Public Interest Litigation challenged the exploitation of bonded laborers under inhumane conditions.,The High Court granted interim relief but stopped short of establishing comprehensive policy.,The petitioner contended that the exploitation inherent in bonded labor infringes on fundamental rights.,"Bonded Labour System (Abolition) Act, 1976.",The legal framework mandates adherence to human rights.,Judicial precedents have underscored that forced labor practices.,The principle established is that bonded labor practices are unconstitutional and require immediate remedial measures.,The Supreme Court mandated that the government enact comprehensive policies for the rehabilitation.
SaulLM-7B,State of Karnataka Vs. Krishna Kumar,State of Karnataka,Krishna Kumar,"Whether the state’s education policy, which denies reservations to a certain category of students, violates the right to education.","The policy was contested on the grounds that it failed to provide reservations for a specific group of students, impacting their right to education.","The High Court ruled in favor of the students, granting the reservation claim.",The petitioner maintained that the state’s constraints justified the policy.,"Constitution of India, Article 21A.",The legal framework requires that reservation policies in education ensure equal access and non-discrimination.,"Judicial precedents, including the Indra Sawhney case, emphasize that reservations must be fair.",The principle is that ensuring equal access to education is paramount.,The Supreme Court mandated that the state adopt and implement equitable reservation policies.
SaulLM-7B,Ramesh Dalal Vs. Union of India,Ramesh Dalal,Union of India,Whether convicted legislators should be immediately disqualified from holding public office.,The petitioner challenged the practice of allowing convicted legislators to continue in office while their appeal was pending.,The High Court maintained that legislators may continue in office while their appeal is pending.,The petitioner contended that permitting convicted legislators to serve compromises democratic integrity and accountability.,"Representation of the People Act, 1951.",Disqualification rules mandate immediate removal of convicted legislators.,Referencing the Lily Thomas case on immediate disqualification of convicted legislators.,The principle is that convicted legislators must be removed from office immediately to safeguard democratic standards.,"The Supreme Court held that once convicted, MPs and MLAs must be disqualified without delay."
SaulLM-7B,Mohini Jain Vs. State of Karnataka,Mohini Jain,State of Karnataka,Whether the practice of charging high capitation fees by private medical colleges violates the right to education.,The petitioner contested that exorbitant capitation fees impede access to education in private medical institutions.,The High Court maintained that private colleges' right to charge fees.,The petitioner asserted that access to education is a constitutional right and that high capitation fees compromise equal access.,"Constitution of India, Article 21A.",Regulatory framework governing private educational institutions.,Precedents like the Unni Krishnan case emphasize that education is a fundamental right warranting equitable access.,The decision hinges on the principle that education must be universally accessible.,"The Supreme Court declared that capitation fees, as imposed, are unconstitutional and mandated reforms to protect the right to education."
SaulLM-7B,State of Maharashtra Vs. Madhukar Narayan Mardikar,State of Maharashtra,Madhukar Narayan Mardikar,Whether a woman's right to privacy and dignity.,"A woman, identified as a prostitute, was denied legal protection, raising concerns about gender equality and personal dignity.","The High Court ruled in favor of protecting her rights, emphasizing the need for equal treatment under the law.",The petitioner contended that a woman's occupation must not diminish her entitlement to constitutional protection.,"Constitution of India, Article 21.","The legal framework mandates that fundamental rights and protections apply equally to all women, irrespective of their profession.",Judicial precedents affirm that equal protection under the law is essential for all women.,The principle established is that the right to privacy and dignity is inviolable for all women.,"The Supreme Court held that all women are entitled to equal protection of their privacy and dignity, regardless of occupation."
SaulLM-7B,Jarnail Singh Vs. Lachhmi Narain Gupta,Jarnail Singh,Lachhmi Narain Gupta,Whether promotions reservation for SC/ST employees is justified without quantifiable data.,A challenge was raised regarding the validity of promotions reservation for SC/ST employees.,The High Court rejected blanket reservations in promotions.,The petitioner asserted that reservation in promotions should be contingent upon objective data demonstrating backwardness.,"Constitution of India, Article 16(4A).","Reservation policies in public employment must be supported by objective, quantifiable criteria.","The Indra Sawhney case, which set guidelines for reservation.",Reservation in promotions is justified only if backed by quantifiable data demonstrating the community's backwardness.,The Supreme Court mandated that promotions reservations must be based on quantifiable evidence.
SaulLM-7B,Gian Kaur Vs. State of Punjab,Gian Kaur,State of Punjab,"Whether Section 306 IPC, criminalizing abetment of suicide, violates the right to life by implying a ""right to die"".",The petitioner contended that criminalizing abetment of suicide infringes on personal autonomy and the right to end one's life.,The High Court invalidated Section 306 IPC on the basis that it conflicted with the petitioner's interpretation of the right to life.,The petitioner maintained that personal autonomy should include the right to die.,"Indian Penal Code, Section 306.","Fundamental rights under Article 21 must be interpreted without extending to a ""right to die"".",Judicial precedents affirm that the right to life does not encompass a right to die.,The principle is that while the right to life is fundamental.,"The Supreme Court ultimately upheld Section 306 IPC, confirming that abetment of suicide is criminal and not protected by the right to life."
SaulLM-7B,K. S. Puttaswamy (Retd.) Vs. Union of India (Aadhaar Case),K. S. Puttaswamy (Retd.),Union of India,Whether the mandatory linking of Aadhaar infringes on the fundamental right to privacy.,The petitioner contended that compulsory Aadhaar linkage for accessing services violates individual privacy and autonomy.,The High Court maintained that the Aadhaar linking requirement was constitutionally acceptable.,The petitioner asserted that mandatory Aadhaar linkage constituted an arbitrary infringement on personal privacy.,"Constitution of India, Article 21.","Aadhaar Act, 2016.",Judicial precedents on privacy and personal autonomy support strict scrutiny of state surveillance measures.,The principle established is that privacy is inviolable and cannot be compromised without compelling justification.,The Supreme Court affirmed the constitutional validity of Aadhaar while imposing limitations on its compulsory application.
SaulLM-7B,Shayara Bano Vs. Union of India,Shayara Bano,Union of India,Whether the practice of instant triple talaq violates constitutional guarantees of gender justice and fundamental rights.,"The petitioner contested that instant triple talaq, as applied, undermines the rights of Muslim women by being arbitrary and discriminatory.",The High Court upheld the validity of instant triple talaq under the framework of existing Muslim personal law.,The petitioner asserted that instant triple talaq contravenes constitutional principles by denying equal protection and dignity.,"Constitution of India, Articles 14, 15, 21.",The applicable statutory framework under the Muslim Personal Law.,Judicial precedents have emphasized that any religious practice infringing on gender equality.,The core rationale is that instantaneous triple talaq violates the principles of equality.,"The Supreme Court invalidated the practice of instant triple talaq, ruling it unconstitutional and in violation of fundamental rights."
SaulLM-7B,Common Cause Vs. Union of India,Common Cause,Union of India,Whether individuals have the constitutional right to legalize passive euthanasia and make living wills.,The petitioner argued for the recognition of living wills and the legalization of passive euthanasia as a facet of personal autonomy.,The High Court rejected the claim for legalizing passive euthanasia and living wills.,"The petitioner contended that the right to die with dignity, including the refusal of artificial life support.","Constitution of India, Article 21.",Regulatory guidelines for passive euthanasia and living wills.,The Aruna Shanbaug case set important precedents regarding passive euthanasia.,The principle is that the right to life encompasses the right to die with dignity.,The Supreme Court upheld the right to passive euthanasia and acknowledged living wills.
