Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
LLAMA2_7B,Aruna Shanbaug Vs. Union of India,Aruna Shanbaug (through journalist Pinki Virani),Union of India,Legality of passive euthanasia in India.,"A nurse remained in a vegetative state for over 30 years, leading to a plea for withdrawal of life support.",High Court ruled against euthanasia.,Petitioner argued that prolonged suffering with no scope of recovery violates dignity.,Article 21 - Right to Life.,Medical Board Review on passive euthanasia.,No direct ruling on euthanasia before this case.,Passive euthanasia may be permitted under strict guidelines.,Supreme Court allowed passive euthanasia under regulated conditions.
LLAMA2_7B,Navtej Singh Johar Vs. Union of India,Navtej Singh Johar,Union of India,Constitutionality of Section 377 IPC regarding LGBTQ+ rights.,LGBTQ+ individuals challenged the criminalization of consensual same-sex relationships.,"High Court decriminalized Section 377, but Supreme Court later overturned it.","Petitioner argued that criminalization violates dignity, equality, and privacy.","Indian Penal Code, Section 377.",Fundamental Rights under the Constitution.,Previous rulings on privacy and individual rights.,Criminalizing private consensual acts violates constitutional freedoms.,Supreme Court decriminalized consensual same-sex relationships.
LLAMA2_7B,Maneka Gandhi Vs. Union of India,Maneka Gandhi,Union of India,Scope of personal liberty under Article 21.,"The petitionerâ€™s passport was impounded without giving her a valid reason, raising concerns over personal liberty and due process.",High Court upheld the governmentâ€™s decision.,Petitioner argued that the action violated Article 21 and the principles of natural justice.,"Constitution of India, Article 21.",Any law restricting personal liberty must follow the principles of fairness and due process.,Previous rulings on personal liberty and fundamental rights.,Any law restricting personal liberty must follow the principles of fairness and due process.,"Supreme Court ruled in favor of the petitioner, expanding the scope of Article 21."
LLAMA2_7B,MC Mehta Vs. Union of India,MC Mehta,Union of India,Environmental pollution and liability for industrial disasters.,The leakage of oleum gas from a factory raised concerns over corporate accountability and environmental safety.,High Court imposed fines on the company.,Petitioner argued for stricter environmental regulations and corporate liability.,"Environmental Protection Act, 1986.",Strict liability and absolute liability principles.,Bhopal Gas Tragedy case rulings.,Industries must bear absolute liability for hazardous activities.,Supreme Court introduced the â€˜absolute liabilityâ€™ principle for environmental hazards.
LLAMA2_7B,Olga Tellis Vs. Bombay Municipal Corporation,Olga Tellis,Bombay Municipal Corporation,Right to livelihood under Article 21 of the Constitution.,Slum dwellers challenged eviction orders that would leave them homeless and without a means of livelihood.,High Court ruled in favor of municipal authorities.,Petitioner argued that forced eviction violated the fundamental right to life and livelihood.,"Constitution of India, Article 21.",Municipal regulations on encroachment.,Previous rulings on right to shelter.,The right to livelihood is an integral part of the right to life.,Supreme Court ruled that the state must provide reasonable alternatives before eviction.
LLAMA2_7B,Indra Sawhney Vs. Union of India,Indra Sawhney,Union of India,Validity of OBC reservations and the concept of 'creamy layer'.,"The Mandal Commission recommended 27% reservation for Other Backward Classes (OBCs), which was challenged for exceeding the reservation limit.",High Court upheld the reservation policy.,Petitioner argued that excessive reservations violated the principles of equality.,"Constitution of India, Articles 14, 15, 16.",Reservation guidelines under government policy.,Previous rulings on affirmative action and social justice.,Reservation is valid but must exclude the 'creamy layer' to maintain fairness.,Supreme Court upheld OBC reservations with the exclusion of the creamy layer.
LLAMA2_7B,Minerva Mills Ltd. Vs. Union of India,Minerva Mills Ltd.,Union of India,Balancing Directive Principles and Fundamental Rights.,Amendments to the Constitution were challenged for violating the basic structure doctrine.,High Court upheld the constitutional amendments.,Petitioner argued that amendments cannot destroy fundamental rights.,"Constitution of India, Articles 31C, 368.",Basic structure doctrine established in Kesavananda Bharati case.,Kesavananda Bharati Vs. State of Kerala.,Directive Principles cannot override Fundamental Rights.,Supreme Court struck down parts of the amendment as unconstitutional.
LLAMA2_7B,ADM Jabalpur Vs. Shivkant Shukla,ADM Jabalpur,Shivkant Shukla,Suspension of fundamental rights during Emergency.,"During the Emergency (1975-77), citizens were detained without trial, raising concerns about the right to life and liberty.",High Court ruled in favor of detained individuals.,Petitioner argued that fundamental rights could be suspended during an Emergency.,"Constitution of India, Article 359.",Emergency Provisions under the Constitution.,Previous rulings on state power during national emergencies.,"State has overriding power during Emergency, even over fundamental rights.",Supreme Court upheld the suspension of fundamental rights during Emergency (later overruled in later cases).
LLAMA2_7B,Kesavananda Bharati Vs. State of Kerala,Kesavananda Bharati,State of Kerala,Extent of Parliament's power to amend the Constitution.,The petitioner challenged land reform laws and questioned whether Parliament could alter fundamental rights.,High Court upheld the land reform laws.,Petitioner argued that Parliament cannot alter the basic structure of the Constitution.,"Constitution of India, Article 368.",Doctrine of Basic Structure.,No previous ruling on limiting constitutional amendments.,Parliament cannot alter the basic structure of the Constitution.,"Supreme Court upheld the basic structure doctrine, limiting Parliamentâ€™s power to amend the Constitution."
LLAMA2_7B,MC Mehta Vs. Union of India (Taj Trapezium Case),MC Mehta,Union of India,Protection of the Taj Mahal from environmental pollution.,"Industrial pollution around the Taj Mahal was causing damage to the monument, prompting environmental litigation.",High Court directed industries to take pollution-control measures.,Petitioner argued for relocation of polluting industries to protect the Taj Mahal.,"Environmental Protection Act, 1986.",Air and Water Pollution Control Rules.,Previous rulings on environmental protection and heritage conservation.,Historic sites must be protected from environmental hazards.,Supreme Court ordered relocation of polluting industries around the Taj Mahal.
LLAMA2_7B,DK Basu Vs. State of West Bengal,DK Basu,State of West Bengal,Guidelines for the protection of arrested individuals.,Incidents of custodial torture and deaths in police custody led to a petition for preventive measures.,High Court suggested guidelines for custodial safety.,Petitioner argued for mandatory safeguards to prevent custodial violence.,"Constitution of India, Article 21.",Guidelines for arrest and detention procedures.,Cases on human rights and police accountability.,"Fundamental rights extend to arrested individuals, ensuring protection from custodial abuse.",Supreme Court issued mandatory guidelines for arrests and custodial treatment.
LLAMA2_7B,Lily Thomas Vs. Union of India,Lily Thomas,Union of India,Disqualification of convicted legislators.,"The petitioner challenged the validity of Section 8(4) of the Representation of the People Act, which allowed convicted legislators to continue in office while appealing their conviction.",High Court upheld the provision allowing legislators to hold office.,Petitioner argued that convicted legislators should be disqualified immediately to maintain integrity in governance.,"Representation of the People Act, 1951.",Disqualification rules for convicted individuals.,Previous rulings on electoral reforms and political accountability.,Allowing convicted legislators to continue in office violates democratic principles.,"Supreme Court struck down Section 8(4), making immediate disqualification mandatory for convicted legislators."
LLAMA2_7B,Peopleâ€™s Union for Civil Liberties Vs. Union of India,Peopleâ€™s Union for Civil Liberties (PUCL),Union of India,Right to privacy in telephone tapping cases.,"PUCL challenged government policies allowing phone tapping, arguing that it violated privacy rights.",High Court upheld the governmentâ€™s power to tap phones for national security reasons.,Petitioner argued that unrestricted phone tapping violates Article 21 and fundamental rights.,"Indian Telegraph Act, 1885.",Surveillance and interception rules.,Previous cases on privacy and fundamental rights.,Phone tapping is an invasion of privacy and requires strict safeguards.,Supreme Court ruled that phone tapping requires procedural safeguards to prevent misuse.
LLAMA2_7B,S. R. Bommai Vs. Union of India,S. R. Bommai,Union of India,Scope of Presidentâ€™s rule under Article 356.,"The Karnataka government was dismissed by the President under Article 356, raising concerns over misuse of central authority.",High Court upheld the dismissal.,Petitioner argued that Article 356 should not be misused to dismiss elected governments arbitrarily.,"Constitution of India, Article 356.",Doctrine of federalism and judicial review.,Previous rulings on the limits of presidential power.,Presidentâ€™s rule must be subject to judicial review to prevent arbitrary dismissals.,Supreme Court placed restrictions on the use of Article 356 and allowed judicial review of dismissals.
LLAMA2_7B,Mohd. Ahmed Khan Vs. Shah Bano Begum,Mohd. Ahmed Khan,Shah Bano Begum,Right of a Muslim woman to maintenance under Section 125 CrPC.,"Shah Bano, a 62-year-old Muslim woman, was divorced by her husband and denied maintenance. She filed a case under Section 125 of the CrPC, which applies to all religions.","High Court ruled in favor of Shah Bano, granting her maintenance.",Petitioner argued that Muslim personal law does not provide for maintenance beyond the iddat period.,"Code of Criminal Procedure, 1973.",Section 125 of CrPC and Muslim Personal Law.,Previous rulings on maintenance rights for divorced women.,A Muslim woman is entitled to maintenance under Section 125 CrPC if she is unable to support herself.,"Supreme Court upheld the High Court's decision, granting Shah Bano maintenance."
LLAMA2_7B,I. R. Coelho Vs. State of Tamil Nadu,I. R. Coelho,State of Tamil Nadu,Whether laws placed in the Ninth Schedule are subject to judicial review.,"The government placed certain laws in the Ninth Schedule to shield them from judicial review, raising concerns over fundamental rights violations.",High Court upheld the protection granted under the Ninth Schedule.,Petitioner argued that laws violating fundamental rights should not be protected from judicial review.,"Constitution of India, Article 31B and Ninth Schedule.",Doctrine of Basic Structure.,Kesavananda Bharati case on judicial review.,Laws placed in the Ninth Schedule must adhere to the Basic Structure of the Constitution.,Supreme Court ruled that laws in the Ninth Schedule are subject to judicial review if they violate fundamental rights.
LLAMA2_7B,Vellore Citizens Welfare Forum Vs. Union of India,Vellore Citizens Welfare Forum,Union of India,Environmental pollution due to tanneries in Tamil Nadu.,"Tanneries in Tamil Nadu were polluting water sources, causing severe environmental damage and affecting public health.",High Court ordered compensation for affected individuals.,Petitioner argued that the â€˜polluter paysâ€™ principle should be applied to industries responsible for environmental damage.,"Environmental Protection Act, 1986.",Polluter Pays Principle and Precautionary Principle.,Previous rulings on environmental conservation and corporate responsibility.,Industries must bear the cost of preventing and remedying environmental damage.,Supreme Court applied the Polluter Pays Principle and ordered compensation and stricter regulations.
LLAMA2_7B,Naz Foundation Vs. Government of NCT of Delhi,Naz Foundation,Government of NCT of Delhi,Decriminalization of homosexuality under Section 377 IPC.,"Naz Foundation challenged Section 377 of the IPC, arguing that it criminalized consensual same-sex relationships and violated fundamental rights.",Delhi High Court ruled that Section 377 was unconstitutional as it violated Article 21.,"Petitioner argued that criminalizing homosexuality violated the right to privacy, dignity, and equality.","Indian Penal Code, 1860.","Fundamental Rights under Articles 14, 15, 19, and 21.",Previous rulings on personal liberty and privacy.,Criminalizing private consensual acts violates the fundamental rights of individuals.,"Delhi High Court decriminalized homosexuality, but the ruling was later overturned by the Supreme Court in 2013 (later restored in Navtej Johar case in 2018)."
LLAMA2_7B,Puttaswamy Vs. Union of India,Justice K. S. Puttaswamy (Retd.),Union of India,Right to privacy as a fundamental right.,The Aadhaar scheme was challenged on the grounds that it violated the right to privacy by collecting personal biometric data.,High Court upheld the Aadhaar scheme as constitutionally valid.,Petitioner argued that the right to privacy is an essential part of the right to life and personal liberty under Article 21.,"Constitution of India, Article 21.",Fundamental Rights and Data Protection Laws.,Previous cases on individual autonomy and state surveillance.,Right to privacy is a fundamental right under the Indian Constitution.,Supreme Court unanimously ruled that the right to privacy is a fundamental right under Article 21.
LLAMA2_7B,Keshub Mahindra Vs. Union of India (Bhopal Gas Tragedy Case),Keshub Mahindra,Union of India,Corporate liability for the Bhopal Gas Tragedy.,"Thousands of people died due to a gas leak from the Union Carbide plant in Bhopal, raising concerns about corporate accountability and compensation.",High Court imposed penalties but reduced criminal liability.,Petitioner argued that the disaster was an accident and not due to negligence.,"Environmental Protection Act, 1986.",Corporate Liability and Compensation Laws.,MC Mehta case on environmental liability.,Companies handling hazardous substances have absolute liability for accidents.,Supreme Court ruled that Union Carbide was responsible and ordered compensation for the victims.
LLAMA2_7B,Golaknath Vs. State of Punjab,Golaknath,State of Punjab,Whether Parliament has the power to amend fundamental rights.,"The petitioner challenged the Constitution (Seventeenth Amendment) Act, arguing that Parliament could not amend fundamental rights.",High Court upheld Parliamentâ€™s power to amend the Constitution.,Petitioner argued that fundamental rights are sacrosanct and cannot be amended by Parliament.,"Constitution of India, Article 368.",Doctrine of implied limitations on constitutional amendments.,No prior ruling restricting Parliamentâ€™s amendment powers.,Fundamental rights cannot be amended by Parliament.,"Supreme Court ruled that Parliament cannot curtail fundamental rights, but this was later overruled in Kesavananda Bharati case."
LLAMA2_7B,Union Carbide Corporation Vs. Union of India,Union Carbide Corporation,Union of India,Adequacy of compensation for Bhopal Gas Tragedy victims.,The Indian government and Union Carbide reached a settlement for $470 million as compensation for the Bhopal Gas Tragedy victims.,High Court approved the settlement but faced opposition from victims' groups.,Petitioner argued that the settlement was fair and should not be re-evaluated.,"Bhopal Gas Leak Disaster Act, 1985.",Principles of absolute liability and victim compensation.,Previous cases on industrial disaster liability.,The compensation amount should be fair and sufficient for victims.,Supreme Court upheld the settlement but allowed further claims for additional compensation.
LLAMA2_7B,Sheela Barse Vs. State of Maharashtra,Sheela Barse,State of Maharashtra,Rights of women prisoners and custodial violence.,"Sheela Barse, a journalist, reported the ill-treatment of women prisoners in Maharashtra, leading to a PIL on their rights.",High Court issued some reforms but did not mandate strict guidelines.,Petitioner argued that women prisoners faced inhumane treatment and needed protection.,"Constitution of India, Article 21.",Guidelines for prisoner rights and custodial safety.,DK Basu case on custodial violence.,"Women prisoners must be protected from abuse, and strict monitoring is needed.",Supreme Court ordered comprehensive reforms for the treatment of women prisoners.
LLAMA2_7B,Bandhua Mukti Morcha Vs. Union of India,Bandhua Mukti Morcha,Union of India,Bonded labor and human rights violations.,A PIL was filed to address the issue of bonded laborers working in inhumane conditions without proper wages.,High Court ordered some relief but did not frame a broader policy.,Petitioner argued that bonded labor violated fundamental rights and required urgent state intervention.,"Bonded Labour System (Abolition) Act, 1976.",Human Rights and Labor Welfare Laws.,Previous rulings on forced labor and minimum wages.,Bonded labor is unconstitutional and must be eradicated.,Supreme Court directed the government to implement policies for bonded laborers' rehabilitation.
LLAMA2_7B,State of Karnataka Vs. Krishna Kumar,State of Karnataka,Krishna Kumar,Right to education and reservation policies.,The state governmentâ€™s education policy was challenged for denying reservations to a certain category of students.,High Court ruled in favor of the students seeking reservations.,Petitioner argued that the policy was justified based on financial and administrative constraints.,"Constitution of India, Article 21A.",Reservation policies under education laws.,Indra Sawhney case on reservations.,"Equal access to education is a fundamental right, and reservations should be implemented fairly.",Supreme Court ruled that the state must ensure fair reservation policies in education.
LLAMA2_7B,Ramesh Dalal Vs. Union of India,Ramesh Dalal,Union of India,Disqualification of MPs and MLAs upon conviction.,The petitioner challenged the practice of allowing convicted legislators to continue in office while their appeal was pending.,High Court upheld the existing provisions allowing legislators to continue until the appeal process was exhausted.,Petitioner argued that allowing convicted politicians to remain in office undermines democratic values.,"Representation of the People Act, 1951.",Disqualification of convicted individuals from public office.,Lily Thomas case on electoral disqualification.,A convicted legislator should be immediately disqualified from holding office.,Supreme Court ruled that convicted MPs and MLAs are disqualified immediately upon conviction.
LLAMA2_7B,Mohini Jain Vs. State of Karnataka,Mohini Jain,State of Karnataka,Right to education and capitation fees.,The petitioner challenged the practice of private medical colleges charging high capitation fees for admission.,High Court upheld the private colleges' right to charge fees.,Petitioner argued that education is a fundamental right and should not be dependent on financial capability.,"Constitution of India, Article 21A.",Regulation of private educational institutions.,Unni Krishnan case on the right to education.,"Education is a fundamental right, and capitation fees violate the principle of equal access.","Supreme Court ruled that capitation fees are unconstitutional, reinforcing the right to education."
LLAMA2_7B,State of Maharashtra Vs. Madhukar Narayan Mardikar,State of Maharashtra,Madhukar Narayan Mardikar,Right to privacy and protection of womenâ€™s dignity.,"A woman was denied legal protection due to her being a prostitute, raising questions about equal rights and dignity.",High Court ruled in favor of the womanâ€™s right to legal protection.,Petitioner argued that a womanâ€™s profession should not impact her fundamental rights.,"Constitution of India, Article 21.",Fundamental Rights and Womenâ€™s Protection Laws.,Cases on gender equality and right to dignity.,"Every woman, regardless of profession, has the right to legal protection and dignity.",Supreme Court ruled that the right to dignity and privacy applies to all women equally.
LLAMA2_7B,Jarnail Singh Vs. Lachhmi Narain Gupta,Jarnail Singh,Lachhmi Narain Gupta,Reservation in promotions for SC/ST employees.,The validity of reservations in promotions for SC/ST employees was challenged.,High Court ruled against blanket reservations in promotions.,Petitioner argued that the government must collect quantifiable data before granting reservation in promotions.,"Constitution of India, Article 16(4A).",Reservation policies in public employment.,Indra Sawhney case on reservation.,Reservations in promotions require quantifiable data proving backwardness.,Supreme Court upheld the need for data-based reservation policies in promotions.
LLAMA2_7B,Gian Kaur Vs. State of Punjab,Gian Kaur,State of Punjab,Constitutionality of Section 306 IPC (abetment of suicide).,"The petitioner challenged the provision criminalizing abetment of suicide, arguing that the right to life includes the right to die.",High Court struck down Section 306 IPC as unconstitutional.,"Petitioner argued that individuals have autonomy over their own lives, including the right to end them.","Indian Penal Code, Section 306.",Right to Life under Article 21.,P. Rathinam case on suicide laws.,Right to life does not include the right to die.,"Supreme Court upheld the validity of Section 306 IPC, ruling that abetment of suicide remains a crime."
LLAMA2_7B,K. S. Puttaswamy (Retd.) Vs. Union of India (Aadhaar Case),K. S. Puttaswamy (Retd.),Union of India,Whether Aadhaar violates the fundamental right to privacy.,"The petitioner challenged the mandatory linking of Aadhaar to various services, arguing it infringed on the right to privacy.",High Court upheld the Aadhaar requirement.,Petitioner argued that Aadhaar collection and linkage violated individual autonomy and privacy rights.,"Constitution of India, Article 21.","Aadhaar Act, 2016.",Previous rulings on privacy and personal autonomy.,Right to privacy is a fundamental right and must be protected against arbitrary state action.,Supreme Court upheld Aadhaarâ€™s validity but restricted its mandatory use in many areas.
LLAMA2_7B,Shayara Bano Vs. Union of India,Shayara Bano,Union of India,Constitutionality of instant triple talaq.,"The petitioner challenged the practice of instant triple talaq, arguing that it violated gender justice and fundamental rights.",High Court upheld triple talaq as valid under Muslim personal law.,Petitioner argued that instant triple talaq is arbitrary and discriminatory against Muslim women.,"Constitution of India, Articles 14, 15, 21.","Muslim Personal Law (Shariat) Application Act, 1937.",Previous rulings on gender equality and religious practices.,Instant triple talaq is arbitrary and unconstitutional.,Supreme Court struck down instant triple talaq as unconstitutional.
LLAMA2_7B,Common Cause Vs. Union of India,Common Cause,Union of India,Legalization of passive euthanasia and living wills.,The petitioner sought the legalization of passive euthanasia and the right to make living wills.,High Court denied the right to passive euthanasia.,Petitioner argued that individuals should have the right to refuse artificial life support.,"Constitution of India, Article 21.",Guidelines for passive euthanasia and living wills.,Aruna Shanbaug case on euthanasia.,Right to die with dignity is a part of the right to life.,Supreme Court legalized passive euthanasia and recognized living wills.
LLAMA2_7B,MC Mehta Vs. Kamal Nath,MC Mehta,Kamal Nath,Environmental damage due to private development projects.,The petitioner challenged the diversion of a river and encroachment on forest land for a private resort.,High Court imposed fines but allowed the project to continue.,Petitioner argued that the project violated environmental laws and affected the ecosystem.,"Environmental Protection Act, 1986.",Doctrine of Public Trust.,Previous environmental rulings on public trust and sustainability.,Natural resources belong to the public and cannot be misused for private gain.,Supreme Court applied the Public Trust Doctrine and ordered restoration of the damaged area.
LLAMA2_7B,State of Tamil Nadu Vs. K. Balu,State of Tamil Nadu,K. Balu,Ban on liquor shops near highways.,A PIL was filed seeking a ban on liquor shops along highways to reduce road accidents caused by drunk driving.,High Court upheld the existing liquor licensing policies.,Petitioner argued that unrestricted liquor sales along highways posed a serious risk to public safety.,"Motor Vehicles Act, 1988.",Liquor Licensing Rules and Road Safety Regulations.,Cases on state control over liquor regulation.,Public safety takes precedence over commercial interests.,Supreme Court ordered a ban on liquor shops within 500 meters of highways.
LLAMA2_7B,Delhi Transport Corporation Vs. DTC Mazdoor Congress,Delhi Transport Corporation,DTC Mazdoor Congress,Validity of arbitrary termination of employees.,"DTC employees were dismissed from service without following due process, leading to a challenge on grounds of natural justice.","High Court ruled in favor of the employees, ordering reinstatement.",Petitioner argued that termination decisions were within the managementâ€™s discretion.,"Constitution of India, Article 14.","Industrial Disputes Act, 1947.",Previous rulings on wrongful termination and natural justice.,Termination must follow due process and principles of natural justice.,"Supreme Court upheld the High Courtâ€™s ruling, ordering reinstatement of employees."
LLAMA2_7B,State of Uttar Pradesh Vs. Raj Narain,State of Uttar Pradesh,Raj Narain,Right to information and transparency in governance.,"The petitioner sought disclosure of government documents related to elections, raising issues of public accountability.",High Court ruled in favor of transparency and ordered document disclosure.,Petitioner argued that certain documents were confidential and should not be made public.,"Constitution of India, Article 19(1)(a).",Right to Information and Public Accountability Laws.,Previous cases on freedom of information.,Government documents affecting public interest must be accessible to citizens.,Supreme Court upheld the right to information as a fundamental right.
LLAMA2_7B,M. Nagaraj Vs. Union of India,M. Nagaraj,Union of India,Validity of reservations in promotions for SC/ST employees.,"The petitioner challenged the constitutional validity of reservations in promotions, arguing that it violated meritocracy.",High Court upheld the reservation policy.,Petitioner argued that reservations in promotions should be based on quantifiable data of backwardness.,"Constitution of India, Article 16(4A).",Reservation policies in public employment.,Indra Sawhney case on reservations.,Reservations in promotions must be justified with quantifiable data.,Supreme Court upheld reservations in promotions but mandated data collection to justify them.
LLAMA2_7B,Joseph Shine Vs. Union of India,Joseph Shine,Union of India,Decriminalization of adultery under Section 497 IPC.,"The petitioner challenged the criminalization of adultery, arguing that it violated gender equality and individual autonomy.",High Court upheld the validity of Section 497 IPC.,Petitioner argued that treating women as property in adultery laws was unconstitutional.,"Indian Penal Code, Section 497.","Fundamental Rights under Articles 14, 15, 21.",Previous rulings on gender equality and personal liberty.,Criminalizing adultery violates the right to equality and personal autonomy.,"Supreme Court struck down Section 497 IPC, decriminalizing adultery."
LLAMA2_7B,Kartar Singh Vs. State of Punjab,Kartar Singh,State of Punjab,Constitutionality of the Terrorist and Disruptive Activities (Prevention) Act (TADA).,"The petitioner challenged TADA, arguing that it violated fundamental rights by allowing extended detention without trial.",High Court upheld the validity of TADA.,Petitioner argued that the provisions of TADA infringed upon the right to liberty and fair trial.,"Terrorist and Disruptive Activities (Prevention) Act, 1987.","Fundamental Rights under Articles 14, 21.",Previous rulings on anti-terror laws and personal liberty.,"While national security is important, fundamental rights cannot be arbitrarily restricted.",Supreme Court upheld TADA but recommended stricter safeguards to prevent misuse.
LLAMA2_7B,Nandini Satpathy Vs. P.L. Dani,Nandini Satpathy,P.L. Dani,Right against self-incrimination during police interrogation.,"The petitioner was asked to answer multiple questions during an interrogation, which she refused, citing her right against self-incrimination.","High Court ruled against the petitioner, stating that refusal to answer could be held against her.",Petitioner argued that forcing her to answer violated Article 20(3) of the Constitution.,"Constitution of India, Article 20(3).",Right against self-incrimination.,Previous cases on self-incrimination protections.,An accused person cannot be compelled to answer questions that may be self-incriminating.,"Supreme Court ruled in favor of the petitioner, strengthening the right against self-incrimination."
